Epoch 0 train loss: 0.007170602058370908, eval loss: 0.02851424738764763, accuracy: 0.5416666666666666
Epoch 1 train loss: 0.007030678912997246, eval loss: 0.02808108739554882, accuracy: 0.6666666666666666
Epoch 2 train loss: 0.006883007163802783, eval loss: 0.027567140758037567, accuracy: 0.75
Epoch 3 train loss: 0.0067166729519764585, eval loss: 0.026949908584356308, accuracy: 0.8333333333333334
Epoch 4 train loss: 0.0065235501776138944, eval loss: 0.026211198419332504, accuracy: 0.9166666666666666
Epoch 5 train loss: 0.006299360965689023, eval loss: 0.025341685861349106, accuracy: 0.9166666666666666
Epoch 6 train loss: 0.006043757622440656, eval loss: 0.024362890049815178, accuracy: 0.9583333333333334
Epoch 7 train loss: 0.005755779643853505, eval loss: 0.023266233503818512, accuracy: 0.9583333333333334
Epoch 8 train loss: 0.005434958264231682, eval loss: 0.022046707570552826, accuracy: 0.9583333333333334
Epoch 9 train loss: 0.0050846512118975324, eval loss: 0.02072085812687874, accuracy: 0.9583333333333334
Epoch 0 train loss: 0.007219565411408742, eval loss: 0.02838481217622757, accuracy: 0.8333333333333334
Epoch 1 train loss: 0.007099982971946399, eval loss: 0.028106242418289185, accuracy: 0.875
Epoch 2 train loss: 0.006983958184719086, eval loss: 0.027772601693868637, accuracy: 0.875
Epoch 3 train loss: 0.006857344880700111, eval loss: 0.027370531111955643, accuracy: 0.9166666666666666
Epoch 4 train loss: 0.006712951386968295, eval loss: 0.02688632905483246, accuracy: 0.9166666666666666
Epoch 5 train loss: 0.00654643215239048, eval loss: 0.02629833295941353, accuracy: 0.9166666666666666
Epoch 6 train loss: 0.0063527120898167295, eval loss: 0.025600768625736237, accuracy: 0.9166666666666666
Epoch 7 train loss: 0.006127962842583656, eval loss: 0.02479238621890545, accuracy: 0.9166666666666666
Epoch 8 train loss: 0.005870648970206578, eval loss: 0.023868195712566376, accuracy: 0.9166666666666666
Epoch 9 train loss: 0.005580088744560878, eval loss: 0.02282746508717537, accuracy: 0.9166666666666666
Epoch 0 train loss: 0.007218845809499423, eval loss: 0.028592515736818314, accuracy: 0.5416666666666666
Epoch 1 train loss: 0.007109208032488823, eval loss: 0.028348226100206375, accuracy: 0.5416666666666666
Epoch 2 train loss: 0.00699826143682003, eval loss: 0.02804139070212841, accuracy: 0.5833333333333334
Epoch 3 train loss: 0.006875632951656978, eval loss: 0.02764923684298992, accuracy: 0.5833333333333334
Epoch 4 train loss: 0.0067319876203934354, eval loss: 0.027174903079867363, accuracy: 0.7916666666666666
Epoch 5 train loss: 0.0065657055626312895, eval loss: 0.026593197137117386, accuracy: 0.8333333333333334
Epoch 6 train loss: 0.006372770294547081, eval loss: 0.025890378281474113, accuracy: 0.9166666666666666
Epoch 7 train loss: 0.006150020907322566, eval loss: 0.025065701454877853, accuracy: 0.9583333333333334
Epoch 8 train loss: 0.005897944793105125, eval loss: 0.02410202845931053, accuracy: 0.9583333333333334
Epoch 9 train loss: 0.005614582449197769, eval loss: 0.02299925684928894, accuracy: 0.9583333333333334
Epoch 0 train loss: 0.007271230220794678, eval loss: 0.02818629890680313, accuracy: 0.5833333333333334
