Epoch 0 train loss: 0.0072237420827150345, eval loss: 0.027641883119940758, accuracy: 0.52
Epoch 1 train loss: 0.007167574639121692, eval loss: 0.0275348462164402, accuracy: 0.52
Epoch 2 train loss: 0.007107771933078766, eval loss: 0.027376307174563408, accuracy: 0.56
Epoch 3 train loss: 0.007038143773873647, eval loss: 0.027154944837093353, accuracy: 0.64
Epoch 4 train loss: 0.006954375033577283, eval loss: 0.02686925418674946, accuracy: 0.8
Epoch 5 train loss: 0.006853988394141197, eval loss: 0.02651723474264145, accuracy: 0.84
Epoch 6 train loss: 0.006735763822992642, eval loss: 0.026097288355231285, accuracy: 0.84
Epoch 7 train loss: 0.006599223241209984, eval loss: 0.02561805583536625, accuracy: 0.84
Epoch 8 train loss: 0.006444498275717099, eval loss: 0.02508172206580639, accuracy: 0.8
Epoch 9 train loss: 0.006272017334898313, eval loss: 0.024487072601914406, accuracy: 0.8
Epoch 10 train loss: 0.00608228084941705, eval loss: 0.023836294189095497, accuracy: 0.8
Epoch 11 train loss: 0.005874958510200183, eval loss: 0.023139547556638718, accuracy: 0.8
Epoch 12 train loss: 0.005648537849386533, eval loss: 0.022396067157387733, accuracy: 0.8
Epoch 13 train loss: 0.005403020729621251, eval loss: 0.021602813154459, accuracy: 0.84
Epoch 14 train loss: 0.005139208088318507, eval loss: 0.020763274282217026, accuracy: 0.88
Epoch 15 train loss: 0.004857845914860566, eval loss: 0.01988285966217518, accuracy: 0.88
Epoch 16 train loss: 0.004561045517524083, eval loss: 0.018971627578139305, accuracy: 0.88
Epoch 17 train loss: 0.004252149102588494, eval loss: 0.01804007776081562, accuracy: 0.92
Epoch 18 train loss: 0.003934564379354318, eval loss: 0.017105216160416603, accuracy: 0.92
Epoch 19 train loss: 0.0036121001467108727, eval loss: 0.016176359727978706, accuracy: 0.92
