Epoch 0 train loss: 0.007230659946799278, eval loss: 0.02753620408475399, accuracy: 0.52
Epoch 1 train loss: 0.007171092554926872, eval loss: 0.027379903942346573, accuracy: 0.6
Epoch 2 train loss: 0.007107049226760864, eval loss: 0.02718348428606987, accuracy: 0.96
Epoch 3 train loss: 0.007027832791209221, eval loss: 0.02693481557071209, accuracy: 0.88
Epoch 4 train loss: 0.006932951509952545, eval loss: 0.026636676862835884, accuracy: 0.84
Epoch 5 train loss: 0.006821028888225555, eval loss: 0.026285914704203606, accuracy: 0.8
Epoch 6 train loss: 0.006690434490640958, eval loss: 0.02587909810245037, accuracy: 0.8
Epoch 7 train loss: 0.006539883092045784, eval loss: 0.025407716631889343, accuracy: 0.8
Epoch 8 train loss: 0.006369392077128093, eval loss: 0.024878496304154396, accuracy: 0.84
Epoch 9 train loss: 0.006179978450139363, eval loss: 0.024293117225170135, accuracy: 0.84
Epoch 10 train loss: 0.005973190069198608, eval loss: 0.02364467829465866, accuracy: 0.84
Epoch 11 train loss: 0.0057474467903375626, eval loss: 0.02293318137526512, accuracy: 0.84
Epoch 12 train loss: 0.005502672245105107, eval loss: 0.02216014824807644, accuracy: 0.84
Epoch 13 train loss: 0.005238325024644534, eval loss: 0.02132224477827549, accuracy: 0.84
Epoch 14 train loss: 0.004956598083178203, eval loss: 0.02043059468269348, accuracy: 0.88
Epoch 15 train loss: 0.004659644017616908, eval loss: 0.019488925114274025, accuracy: 0.88
Epoch 16 train loss: 0.004350414810081323, eval loss: 0.0185043066740036, accuracy: 0.88
Epoch 17 train loss: 0.004031957437594731, eval loss: 0.01748063787817955, accuracy: 0.88
Epoch 18 train loss: 0.003708327809969584, eval loss: 0.016430282965302467, accuracy: 0.88
Epoch 19 train loss: 0.0033845783521731696, eval loss: 0.015368510968983173, accuracy: 0.92
