Epoch 0 train loss: 0.007251434649030368, eval loss: 0.027423309162259102, accuracy: 0.56
Epoch 1 train loss: 0.0071881115436553955, eval loss: 0.02724684216082096, accuracy: 0.56
Epoch 2 train loss: 0.007119320333003998, eval loss: 0.027027208358049393, accuracy: 0.64
Epoch 3 train loss: 0.007036912565430005, eval loss: 0.026757223531603813, accuracy: 0.68
Epoch 4 train loss: 0.006939230486750603, eval loss: 0.02643224596977234, accuracy: 0.68
Epoch 5 train loss: 0.006825439011057218, eval loss: 0.0260535329580307, accuracy: 0.88
Epoch 6 train loss: 0.006696208069721858, eval loss: 0.025622369721531868, accuracy: 0.92
Epoch 7 train loss: 0.006551482404271762, eval loss: 0.025142768397927284, accuracy: 0.96
Epoch 8 train loss: 0.006390952194730441, eval loss: 0.02460937388241291, accuracy: 0.96
Epoch 9 train loss: 0.006214277818799019, eval loss: 0.024028709158301353, accuracy: 0.96
Epoch 10 train loss: 0.006023206437627475, eval loss: 0.02340167947113514, accuracy: 0.96
Epoch 11 train loss: 0.005817257488767306, eval loss: 0.0227329321205616, accuracy: 0.96
Epoch 12 train loss: 0.005597264195481936, eval loss: 0.02202093042433262, accuracy: 0.96
Epoch 13 train loss: 0.005362488329410553, eval loss: 0.021261651068925858, accuracy: 0.96
Epoch 14 train loss: 0.005112552084028721, eval loss: 0.02045898698270321, accuracy: 0.96
Epoch 15 train loss: 0.004848250808815162, eval loss: 0.019613154232501984, accuracy: 0.96
Epoch 16 train loss: 0.004571262436608474, eval loss: 0.01872931979596615, accuracy: 0.96
Epoch 17 train loss: 0.004283070253829162, eval loss: 0.01781524159014225, accuracy: 0.96
Epoch 18 train loss: 0.0039860087757309275, eval loss: 0.01687091588973999, accuracy: 0.96
Epoch 19 train loss: 0.0036828204368551574, eval loss: 0.015910083428025246, accuracy: 0.96
