Epoch 0 train loss: 0.007220445200800896, eval loss: 0.027519848197698593, accuracy: 0.52
Epoch 1 train loss: 0.007150758678714435, eval loss: 0.02732827328145504, accuracy: 0.64
Epoch 2 train loss: 0.0070734017839034396, eval loss: 0.02708798088133335, accuracy: 0.68
Epoch 3 train loss: 0.006979897618293762, eval loss: 0.026791242882609367, accuracy: 0.84
Epoch 4 train loss: 0.006868467976649602, eval loss: 0.02643711306154728, accuracy: 0.88
Epoch 5 train loss: 0.006736816838383675, eval loss: 0.02602488547563553, accuracy: 0.92
Epoch 6 train loss: 0.006586557254195213, eval loss: 0.0255642831325531, accuracy: 0.92
Epoch 7 train loss: 0.0064204515268405276, eval loss: 0.02504739910364151, accuracy: 0.92
Epoch 8 train loss: 0.006239799782633781, eval loss: 0.024472899734973907, accuracy: 0.92
Epoch 9 train loss: 0.006045278782645862, eval loss: 0.02383735589683056, accuracy: 0.92
Epoch 10 train loss: 0.005835384751359622, eval loss: 0.023135745897889137, accuracy: 0.96
Epoch 11 train loss: 0.00560767762362957, eval loss: 0.022375833243131638, accuracy: 0.96
Epoch 12 train loss: 0.005363012974460919, eval loss: 0.021556969732046127, accuracy: 0.96
Epoch 13 train loss: 0.005101675788561503, eval loss: 0.02068224921822548, accuracy: 1.0
Epoch 14 train loss: 0.004824656682709853, eval loss: 0.019756074994802475, accuracy: 1.0
Epoch 15 train loss: 0.004533110807339351, eval loss: 0.018785623833537102, accuracy: 1.0
Epoch 16 train loss: 0.00423009196917216, eval loss: 0.017777709290385246, accuracy: 1.0
Epoch 17 train loss: 0.003918730032940705, eval loss: 0.01673968695104122, accuracy: 1.0
Epoch 18 train loss: 0.0036033354699611664, eval loss: 0.015685146674513817, accuracy: 1.0
Epoch 19 train loss: 0.003287969157099724, eval loss: 0.01462333183735609, accuracy: 1.0
