Epoch 0 train loss: 0.007225364446640015, eval loss: 0.027731405571103096, accuracy: 0.48
Epoch 1 train loss: 0.00717000166575114, eval loss: 0.027549931779503822, accuracy: 0.48
Epoch 2 train loss: 0.007106895868976911, eval loss: 0.027326766401529312, accuracy: 0.48
Epoch 3 train loss: 0.007029807195067406, eval loss: 0.02705381251871586, accuracy: 0.6
Epoch 4 train loss: 0.006936009352405866, eval loss: 0.026725223287940025, accuracy: 0.72
Epoch 5 train loss: 0.006825072690844536, eval loss: 0.026341211050748825, accuracy: 0.88
Epoch 6 train loss: 0.0066987294703722, eval loss: 0.02591310627758503, accuracy: 0.88
Epoch 7 train loss: 0.006556743135054906, eval loss: 0.025433562695980072, accuracy: 0.88
Epoch 8 train loss: 0.00639816311498483, eval loss: 0.02489960938692093, accuracy: 0.84
Epoch 9 train loss: 0.00622108019888401, eval loss: 0.024304883554577827, accuracy: 0.84
Epoch 10 train loss: 0.006024268766244252, eval loss: 0.023657070472836494, accuracy: 0.84
Epoch 11 train loss: 0.005809543654322624, eval loss: 0.022953929379582405, accuracy: 0.88
Epoch 12 train loss: 0.005578506737947464, eval loss: 0.022197799757122993, accuracy: 0.92
Epoch 13 train loss: 0.0053309233238299685, eval loss: 0.021386679261922836, accuracy: 0.92
Epoch 14 train loss: 0.005066981228689353, eval loss: 0.020529290661215782, accuracy: 0.92
Epoch 15 train loss: 0.00478810320297877, eval loss: 0.019624995067715645, accuracy: 0.92
Epoch 16 train loss: 0.004496369200448195, eval loss: 0.0186794213950634, accuracy: 0.92
Epoch 17 train loss: 0.004193914122879505, eval loss: 0.017699560150504112, accuracy: 0.92
Epoch 18 train loss: 0.003884021503229936, eval loss: 0.016694171354174614, accuracy: 0.92
Epoch 19 train loss: 0.0035703713074326515, eval loss: 0.015675097703933716, accuracy: 0.92
