Epoch 0 train loss: 0.007214515780409177, eval loss: 0.027902284637093544, accuracy: 0.44
Epoch 1 train loss: 0.007159542913238208, eval loss: 0.027652502059936523, accuracy: 0.44
Epoch 2 train loss: 0.007099176446596782, eval loss: 0.02733760140836239, accuracy: 0.44
Epoch 3 train loss: 0.007023731867472331, eval loss: 0.026953790336847305, accuracy: 0.52
Epoch 4 train loss: 0.0069313061734040575, eval loss: 0.02650461159646511, accuracy: 0.68
Epoch 5 train loss: 0.006821587060888608, eval loss: 0.02600049413740635, accuracy: 0.8
Epoch 6 train loss: 0.00669720396399498, eval loss: 0.025443531572818756, accuracy: 0.92
Epoch 7 train loss: 0.006556985899806023, eval loss: 0.024823304265737534, accuracy: 0.92
Epoch 8 train loss: 0.006400079155961673, eval loss: 0.024149123579263687, accuracy: 0.92
Epoch 9 train loss: 0.006226978575189908, eval loss: 0.023416632786393166, accuracy: 0.92
Epoch 10 train loss: 0.006037401035428047, eval loss: 0.022617751732468605, accuracy: 1.0
Epoch 11 train loss: 0.005829524869720141, eval loss: 0.02175498753786087, accuracy: 1.0
Epoch 12 train loss: 0.005603353803356488, eval loss: 0.020836619660258293, accuracy: 1.0
Epoch 13 train loss: 0.005360061302781105, eval loss: 0.019866416230797768, accuracy: 0.96
Epoch 14 train loss: 0.005099213682115078, eval loss: 0.018846064805984497, accuracy: 0.96
Epoch 15 train loss: 0.004822752438485622, eval loss: 0.017785033211112022, accuracy: 0.96
Epoch 16 train loss: 0.004533087524274985, eval loss: 0.016692547127604485, accuracy: 0.96
Epoch 17 train loss: 0.004232585119704406, eval loss: 0.015584111213684082, accuracy: 0.96
Epoch 18 train loss: 0.003924742651482423, eval loss: 0.014476352371275425, accuracy: 0.96
Epoch 19 train loss: 0.0036118042965730033, eval loss: 0.01337511371821165, accuracy: 0.96
