Epoch 0 train loss: 0.007240650554498036, eval loss: 0.027848728001117706, accuracy: 0.48
Epoch 1 train loss: 0.007187070325016975, eval loss: 0.02764955721795559, accuracy: 0.48
Epoch 2 train loss: 0.0071288589388132095, eval loss: 0.027405306696891785, accuracy: 0.48
Epoch 3 train loss: 0.007055281971891721, eval loss: 0.027100056409835815, accuracy: 0.48
Epoch 4 train loss: 0.006962599232792854, eval loss: 0.026729732751846313, accuracy: 0.48
Epoch 5 train loss: 0.006851271415750186, eval loss: 0.026307586580514908, accuracy: 0.6
Epoch 6 train loss: 0.006725483884414037, eval loss: 0.02584240399301052, accuracy: 0.68
Epoch 7 train loss: 0.006584704543153445, eval loss: 0.025324026122689247, accuracy: 0.76
Epoch 8 train loss: 0.0064268602679173155, eval loss: 0.0247343797236681, accuracy: 0.88
Epoch 9 train loss: 0.0062491440524657564, eval loss: 0.024078574031591415, accuracy: 0.88
Epoch 10 train loss: 0.006050752475857735, eval loss: 0.023354412987828255, accuracy: 0.92
Epoch 11 train loss: 0.005833718304832776, eval loss: 0.022568348795175552, accuracy: 0.92
Epoch 12 train loss: 0.005599792425831159, eval loss: 0.021718492731451988, accuracy: 0.92
Epoch 13 train loss: 0.0053494541595379514, eval loss: 0.020812008529901505, accuracy: 0.92
Epoch 14 train loss: 0.0050840772067507105, eval loss: 0.019854284822940826, accuracy: 0.92
Epoch 15 train loss: 0.004803881980478764, eval loss: 0.01884770765900612, accuracy: 0.92
Epoch 16 train loss: 0.004510457006593545, eval loss: 0.017794251441955566, accuracy: 0.96
Epoch 17 train loss: 0.0042062004407246905, eval loss: 0.016699055209755898, accuracy: 0.96
Epoch 18 train loss: 0.003893831123908361, eval loss: 0.015575861558318138, accuracy: 0.96
Epoch 19 train loss: 0.003576798985401789, eval loss: 0.014436790719628334, accuracy: 1.0
