Epoch 0 train loss: 0.007216694454352061, eval loss: 0.027877459302544594, accuracy: 0.36
Epoch 1 train loss: 0.0071578118950128555, eval loss: 0.027732379734516144, accuracy: 0.36
Epoch 2 train loss: 0.0070944347729285555, eval loss: 0.02751629613339901, accuracy: 0.36
Epoch 3 train loss: 0.007015896961092949, eval loss: 0.027216102927923203, accuracy: 0.52
Epoch 4 train loss: 0.006919236853718758, eval loss: 0.02682185359299183, accuracy: 0.64
Epoch 5 train loss: 0.00680305374165376, eval loss: 0.02633497677743435, accuracy: 0.76
Epoch 6 train loss: 0.006666652237375577, eval loss: 0.02576718106865883, accuracy: 0.88
Epoch 7 train loss: 0.006508997951944669, eval loss: 0.025129146873950958, accuracy: 0.88
Epoch 8 train loss: 0.006334410980343819, eval loss: 0.024438226595520973, accuracy: 0.84
Epoch 9 train loss: 0.006144889319936435, eval loss: 0.02369670569896698, accuracy: 0.92
Epoch 10 train loss: 0.005940435454249382, eval loss: 0.02290622889995575, accuracy: 0.92
Epoch 11 train loss: 0.005721994365255038, eval loss: 0.022070199251174927, accuracy: 0.92
Epoch 12 train loss: 0.005488688126206398, eval loss: 0.021185947582125664, accuracy: 0.96
Epoch 13 train loss: 0.0052401529004176455, eval loss: 0.020252354443073273, accuracy: 0.96
Epoch 14 train loss: 0.004976178519427776, eval loss: 0.019268784672021866, accuracy: 1.0
Epoch 15 train loss: 0.00469708318511645, eval loss: 0.018242163583636284, accuracy: 1.0
Epoch 16 train loss: 0.004405094621082147, eval loss: 0.01717560738325119, accuracy: 1.0
Epoch 17 train loss: 0.004102679279943307, eval loss: 0.01607704535126686, accuracy: 1.0
Epoch 18 train loss: 0.0037931563953558602, eval loss: 0.014965241774916649, accuracy: 1.0
Epoch 19 train loss: 0.0034804074093699455, eval loss: 0.013850799761712551, accuracy: 1.0
