Epoch 0 train loss: 0.007210540274779002, eval loss: 0.027787713333964348, accuracy: 0.44
Epoch 1 train loss: 0.007156605521837871, eval loss: 0.02762014977633953, accuracy: 0.44
Epoch 2 train loss: 0.007094031199812889, eval loss: 0.02738947793841362, accuracy: 0.44
Epoch 3 train loss: 0.007015260557333629, eval loss: 0.027083415538072586, accuracy: 0.56
Epoch 4 train loss: 0.0069173965603113174, eval loss: 0.026712186634540558, accuracy: 0.68
Epoch 5 train loss: 0.00679987296462059, eval loss: 0.026280926540493965, accuracy: 0.68
Epoch 6 train loss: 0.0066620490203301115, eval loss: 0.025774534791707993, accuracy: 0.8
Epoch 7 train loss: 0.006502159560720126, eval loss: 0.025204414501786232, accuracy: 0.84
Epoch 8 train loss: 0.0063198041170835495, eval loss: 0.024567481130361557, accuracy: 0.92
Epoch 9 train loss: 0.006115809703866641, eval loss: 0.023865191265940666, accuracy: 0.92
Epoch 10 train loss: 0.0058922190219163895, eval loss: 0.023091938346624374, accuracy: 0.92
Epoch 11 train loss: 0.005649820591012637, eval loss: 0.022250374779105186, accuracy: 0.96
Epoch 12 train loss: 0.005388580883542697, eval loss: 0.021351192146539688, accuracy: 0.96
Epoch 13 train loss: 0.005107678783436616, eval loss: 0.020403699949383736, accuracy: 1.0
Epoch 14 train loss: 0.004808444840212663, eval loss: 0.019408421590924263, accuracy: 1.0
Epoch 15 train loss: 0.004494392313063145, eval loss: 0.018371572718024254, accuracy: 0.96
Epoch 16 train loss: 0.00416812797387441, eval loss: 0.017306683585047722, accuracy: 0.96
Epoch 17 train loss: 0.0038340001677473388, eval loss: 0.016230598092079163, accuracy: 0.96
Epoch 18 train loss: 0.003497184875110785, eval loss: 0.015154439024627209, accuracy: 0.96
Epoch 19 train loss: 0.0031626947845021882, eval loss: 0.014096195809543133, accuracy: 0.96
