Epoch 0 train loss: 0.007224788889288902, eval loss: 0.02754453383386135, accuracy: 0.6
Epoch 1 train loss: 0.007169958824912707, eval loss: 0.027383796870708466, accuracy: 0.92
Epoch 2 train loss: 0.007105787595113118, eval loss: 0.027165932580828667, accuracy: 0.88
Epoch 3 train loss: 0.007026264443993568, eval loss: 0.026888014748692513, accuracy: 0.88
Epoch 4 train loss: 0.006932377194364865, eval loss: 0.026552297174930573, accuracy: 0.88
Epoch 5 train loss: 0.006821123883128166, eval loss: 0.026154078543186188, accuracy: 0.88
Epoch 6 train loss: 0.006690531348188718, eval loss: 0.02568424865603447, accuracy: 0.88
Epoch 7 train loss: 0.0065384066353241605, eval loss: 0.025143397971987724, accuracy: 0.88
Epoch 8 train loss: 0.00636492483317852, eval loss: 0.024536579847335815, accuracy: 0.88
Epoch 9 train loss: 0.006171749904751778, eval loss: 0.023866070434451103, accuracy: 0.92
Epoch 10 train loss: 0.005960114921132724, eval loss: 0.02313804253935814, accuracy: 0.92
Epoch 11 train loss: 0.005732672289013863, eval loss: 0.022358888760209084, accuracy: 0.96
Epoch 12 train loss: 0.005488553394873937, eval loss: 0.02153250388801098, accuracy: 0.96
Epoch 13 train loss: 0.005228346213698387, eval loss: 0.020656311884522438, accuracy: 0.96
Epoch 14 train loss: 0.004951899250348409, eval loss: 0.019729353487491608, accuracy: 0.96
Epoch 15 train loss: 0.004659332024554412, eval loss: 0.018757248297333717, accuracy: 0.96
Epoch 16 train loss: 0.004352693445980549, eval loss: 0.017745686694979668, accuracy: 0.96
Epoch 17 train loss: 0.004034430719912052, eval loss: 0.016710413619875908, accuracy: 0.96
Epoch 18 train loss: 0.0037082374716798463, eval loss: 0.015667451545596123, accuracy: 0.96
Epoch 19 train loss: 0.00337901059538126, eval loss: 0.014634649269282818, accuracy: 0.96
