Epoch 0 train loss: 0.007233711580435435, eval loss: 0.02869299426674843, accuracy: 0.4583333333333333
Epoch 1 train loss: 0.007129680986205737, eval loss: 0.02836737036705017, accuracy: 0.4583333333333333
Epoch 2 train loss: 0.007025100911657016, eval loss: 0.02797921746969223, accuracy: 0.6666666666666666
Epoch 3 train loss: 0.006907231484850247, eval loss: 0.027507929131388664, accuracy: 0.75
Epoch 4 train loss: 0.006770753612120946, eval loss: 0.02693479135632515, accuracy: 0.8333333333333334
Epoch 5 train loss: 0.006610567991932233, eval loss: 0.02625892125070095, accuracy: 0.9166666666666666
Epoch 6 train loss: 0.006424232696493466, eval loss: 0.025471089407801628, accuracy: 0.9166666666666666
Epoch 7 train loss: 0.006206685056289037, eval loss: 0.02456800453364849, accuracy: 0.9583333333333334
Epoch 8 train loss: 0.005955573792258899, eval loss: 0.023545656353235245, accuracy: 0.9583333333333334
Epoch 9 train loss: 0.005672066782911618, eval loss: 0.02240775339305401, accuracy: 0.9583333333333334
Epoch 10 train loss: 0.005356084555387497, eval loss: 0.021155748516321182, accuracy: 0.9583333333333334
Epoch 11 train loss: 0.005009938962757587, eval loss: 0.019801856949925423, accuracy: 0.9583333333333334
Epoch 12 train loss: 0.004639504787822564, eval loss: 0.01837093010544777, accuracy: 0.9583333333333334
Epoch 13 train loss: 0.004251860082149506, eval loss: 0.01689884252846241, accuracy: 0.9583333333333334
Epoch 14 train loss: 0.0038541406393051147, eval loss: 0.01542174257338047, accuracy: 0.9583333333333334
Epoch 15 train loss: 0.0034539448097348213, eval loss: 0.013960744254291058, accuracy: 0.9583333333333334
Epoch 16 train loss: 0.003060519384841124, eval loss: 0.0125342458486557, accuracy: 0.9583333333333334
Epoch 17 train loss: 0.002679930068552494, eval loss: 0.011156200431287289, accuracy: 0.9583333333333334
Epoch 18 train loss: 0.0023181669724484286, eval loss: 0.00983996968716383, accuracy: 0.9583333333333334
Epoch 19 train loss: 0.001980000641196966, eval loss: 0.008597553707659245, accuracy: 0.9583333333333334
