Epoch 0 train loss: 0.007182336722811063, eval loss: 0.028699398040771484, accuracy: 0.4583333333333333
Epoch 1 train loss: 0.007056611900528272, eval loss: 0.028275717049837112, accuracy: 0.4583333333333333
Epoch 2 train loss: 0.0069221314042806625, eval loss: 0.027774490416049957, accuracy: 0.5416666666666666
Epoch 3 train loss: 0.006769960125287374, eval loss: 0.027177326381206512, accuracy: 0.7083333333333334
Epoch 4 train loss: 0.006593805427352588, eval loss: 0.026475079357624054, accuracy: 0.75
Epoch 5 train loss: 0.006389126802484195, eval loss: 0.02566583827137947, accuracy: 0.9166666666666666
Epoch 6 train loss: 0.006152621780832608, eval loss: 0.024747353047132492, accuracy: 0.9166666666666666
Epoch 7 train loss: 0.005884527539213498, eval loss: 0.023718630895018578, accuracy: 0.9166666666666666
Epoch 8 train loss: 0.0055861206104358034, eval loss: 0.02258722297847271, accuracy: 0.9166666666666666
Epoch 9 train loss: 0.005258223041892052, eval loss: 0.021347668021917343, accuracy: 0.9166666666666666
Epoch 10 train loss: 0.004903641529381275, eval loss: 0.020013295114040375, accuracy: 0.9166666666666666
Epoch 11 train loss: 0.004525513698657353, eval loss: 0.01861685886979103, accuracy: 0.9166666666666666
Epoch 12 train loss: 0.004129067373772462, eval loss: 0.017178360372781754, accuracy: 0.9166666666666666
Epoch 13 train loss: 0.003719895767668883, eval loss: 0.01573025807738304, accuracy: 0.9166666666666666
Epoch 14 train loss: 0.003306967206299305, eval loss: 0.014297797344624996, accuracy: 0.9166666666666666
Epoch 15 train loss: 0.00289777759462595, eval loss: 0.012892610393464565, accuracy: 0.9166666666666666
Epoch 16 train loss: 0.002500159045060476, eval loss: 0.011554661206901073, accuracy: 0.9166666666666666
Epoch 17 train loss: 0.002121930941939354, eval loss: 0.010311806574463844, accuracy: 0.9166666666666666
Epoch 18 train loss: 0.001769489763925473, eval loss: 0.009174305014312267, accuracy: 0.9166666666666666
Epoch 19 train loss: 0.00144919753074646, eval loss: 0.00816921703517437, accuracy: 0.9166666666666666
