Epoch 0 train loss: 0.007226014509797096, eval loss: 0.028323542326688766, accuracy: 0.5416666666666666
Epoch 1 train loss: 0.007075848678747813, eval loss: 0.027822677046060562, accuracy: 0.75
Epoch 2 train loss: 0.006928546354174614, eval loss: 0.027281086891889572, accuracy: 0.9583333333333334
Epoch 3 train loss: 0.006771515433986981, eval loss: 0.026667959988117218, accuracy: 0.9583333333333334
Epoch 4 train loss: 0.006596970061461131, eval loss: 0.02596326544880867, accuracy: 1.0
Epoch 5 train loss: 0.006400521844625473, eval loss: 0.025149252265691757, accuracy: 1.0
Epoch 6 train loss: 0.006179365639885266, eval loss: 0.024213723838329315, accuracy: 1.0
Epoch 7 train loss: 0.0059308987110853195, eval loss: 0.02315063588321209, accuracy: 1.0
Epoch 8 train loss: 0.00565107228855292, eval loss: 0.021947411820292473, accuracy: 1.0
Epoch 9 train loss: 0.005338950082659721, eval loss: 0.02061719447374344, accuracy: 1.0
Epoch 10 train loss: 0.004997183568775654, eval loss: 0.019177624955773354, accuracy: 1.0
Epoch 11 train loss: 0.004629537463188171, eval loss: 0.01762770116329193, accuracy: 1.0
Epoch 12 train loss: 0.0042405932520826655, eval loss: 0.01600560173392296, accuracy: 1.0
Epoch 13 train loss: 0.00383739514897267, eval loss: 0.01435606088489294, accuracy: 1.0
Epoch 14 train loss: 0.003427367036541303, eval loss: 0.012715097516775131, accuracy: 1.0
Epoch 15 train loss: 0.0030188756063580513, eval loss: 0.011112420819699764, accuracy: 1.0
Epoch 16 train loss: 0.0026221626127759614, eval loss: 0.009584447368979454, accuracy: 1.0
Epoch 17 train loss: 0.0022447151131927967, eval loss: 0.008164934813976288, accuracy: 1.0
Epoch 18 train loss: 0.0018946787652870019, eval loss: 0.006877897307276726, accuracy: 1.0
Epoch 19 train loss: 0.0015774678128461044, eval loss: 0.005739464890211821, accuracy: 1.0
