Epoch 0 train loss: 0.0072606100390354795, eval loss: 0.028393704444169998, accuracy: 0.5416666666666666
Epoch 1 train loss: 0.007139399026830991, eval loss: 0.028067566454410553, accuracy: 0.5833333333333334
Epoch 2 train loss: 0.007022652154167493, eval loss: 0.027686145156621933, accuracy: 0.75
Epoch 3 train loss: 0.006891485924522082, eval loss: 0.027234386652708054, accuracy: 0.875
Epoch 4 train loss: 0.006740067775050799, eval loss: 0.02669352851808071, accuracy: 0.875
Epoch 5 train loss: 0.006562270224094391, eval loss: 0.026048526167869568, accuracy: 0.9583333333333334
Epoch 6 train loss: 0.006356189648310344, eval loss: 0.025283828377723694, accuracy: 1.0
Epoch 7 train loss: 0.006118667001525561, eval loss: 0.024397609755396843, accuracy: 1.0
Epoch 8 train loss: 0.005847166602810224, eval loss: 0.02339528128504753, accuracy: 1.0
Epoch 9 train loss: 0.005542486906051636, eval loss: 0.022265611216425896, accuracy: 0.9583333333333334
Epoch 10 train loss: 0.0052077990646163625, eval loss: 0.02101832441985607, accuracy: 1.0
Epoch 11 train loss: 0.004844491990904014, eval loss: 0.019653942435979843, accuracy: 1.0
Epoch 12 train loss: 0.004456402113040288, eval loss: 0.018194615840911865, accuracy: 1.0
Epoch 13 train loss: 0.00404965877532959, eval loss: 0.016660412773489952, accuracy: 1.0
Epoch 14 train loss: 0.0036324296767512956, eval loss: 0.015076752752065659, accuracy: 1.0
Epoch 15 train loss: 0.003213053879638513, eval loss: 0.013482201844453812, accuracy: 1.0
Epoch 16 train loss: 0.0028004668032129607, eval loss: 0.011910452507436275, accuracy: 1.0
Epoch 17 train loss: 0.0024029583049317202, eval loss: 0.010403634048998356, accuracy: 1.0
Epoch 18 train loss: 0.0020297320249179998, eval loss: 0.008993156254291534, accuracy: 1.0
Epoch 19 train loss: 0.0016880643864472706, eval loss: 0.007704884745180607, accuracy: 1.0
