Epoch 0 train loss: 0.007198438048362732, eval loss: 0.028947172686457634, accuracy: 0.3333333333333333
Epoch 1 train loss: 0.00708701213200887, eval loss: 0.02872314304113388, accuracy: 0.4166666666666667
Epoch 2 train loss: 0.006977571174502373, eval loss: 0.028420519083738327, accuracy: 0.5416666666666666
Epoch 3 train loss: 0.006856903433799744, eval loss: 0.028003273531794548, accuracy: 0.6666666666666666
Epoch 4 train loss: 0.006717706099152565, eval loss: 0.02744179777801037, accuracy: 0.7916666666666666
Epoch 5 train loss: 0.006556124736865361, eval loss: 0.026727069169282913, accuracy: 0.9583333333333334
Epoch 6 train loss: 0.006367789581418037, eval loss: 0.02587750554084778, accuracy: 1.0
Epoch 7 train loss: 0.006151072060068448, eval loss: 0.024896491318941116, accuracy: 1.0
Epoch 8 train loss: 0.005904540419578552, eval loss: 0.023772485554218292, accuracy: 1.0
Epoch 9 train loss: 0.0056259843210379286, eval loss: 0.022492317482829094, accuracy: 1.0
Epoch 10 train loss: 0.005316320185859998, eval loss: 0.021068643778562546, accuracy: 1.0
Epoch 11 train loss: 0.0049766845380266505, eval loss: 0.019511863589286804, accuracy: 1.0
Epoch 12 train loss: 0.004610220280786355, eval loss: 0.01783233880996704, accuracy: 1.0
Epoch 13 train loss: 0.004220407456159592, eval loss: 0.016075726598501205, accuracy: 1.0
Epoch 14 train loss: 0.0038138426219423613, eval loss: 0.014287656173110008, accuracy: 1.0
Epoch 15 train loss: 0.003397044725716114, eval loss: 0.012512668035924435, accuracy: 1.0
Epoch 16 train loss: 0.002979620980719725, eval loss: 0.01079084724187851, accuracy: 1.0
Epoch 17 train loss: 0.0025714708802600703, eval loss: 0.009173888713121414, accuracy: 1.0
Epoch 18 train loss: 0.0021826005540788174, eval loss: 0.007699953392148018, accuracy: 1.0
Epoch 19 train loss: 0.0018214141018688679, eval loss: 0.006394197698682547, accuracy: 1.0
