Epoch 0 train loss: 0.0072448768963416415, eval loss: 0.028680555522441864, accuracy: 0.7916666666666666
Epoch 1 train loss: 0.007150458171963692, eval loss: 0.028427813202142715, accuracy: 0.8333333333333334
Epoch 2 train loss: 0.007057900230089824, eval loss: 0.028141528367996216, accuracy: 0.875
Epoch 3 train loss: 0.006956731900572777, eval loss: 0.02779701165854931, accuracy: 0.9166666666666666
Epoch 4 train loss: 0.0068369364986817045, eval loss: 0.02735709212720394, accuracy: 0.9166666666666666
Epoch 5 train loss: 0.006693691636125247, eval loss: 0.026832161471247673, accuracy: 0.9166666666666666
Epoch 6 train loss: 0.006523290649056435, eval loss: 0.026202065870165825, accuracy: 0.9166666666666666
Epoch 7 train loss: 0.00631978673239549, eval loss: 0.02544914186000824, accuracy: 0.9166666666666666
Epoch 8 train loss: 0.006081550071636836, eval loss: 0.02456722967326641, accuracy: 0.9166666666666666
Epoch 9 train loss: 0.005807872861623764, eval loss: 0.023546893149614334, accuracy: 0.9166666666666666
Epoch 10 train loss: 0.005495999629298846, eval loss: 0.02239460125565529, accuracy: 0.9166666666666666
Epoch 11 train loss: 0.005147558016081651, eval loss: 0.021135253831744194, accuracy: 0.9166666666666666
Epoch 12 train loss: 0.0047658951953053474, eval loss: 0.019787097349762917, accuracy: 0.9166666666666666
Epoch 13 train loss: 0.004357233643531799, eval loss: 0.018376829102635384, accuracy: 0.9166666666666666
Epoch 14 train loss: 0.003927734059592088, eval loss: 0.016922563314437866, accuracy: 0.9166666666666666
Epoch 15 train loss: 0.00348721103121837, eval loss: 0.015461808070540428, accuracy: 0.9166666666666666
Epoch 16 train loss: 0.003046452688674132, eval loss: 0.014026332646608353, accuracy: 0.9166666666666666
Epoch 17 train loss: 0.002616827997068564, eval loss: 0.012649910524487495, accuracy: 0.9166666666666666
Epoch 18 train loss: 0.0022087697871029377, eval loss: 0.011367272585630417, accuracy: 0.9166666666666666
Epoch 19 train loss: 0.0018322219451268513, eval loss: 0.010205140337347984, accuracy: 0.9166666666666666
