Epoch 0 train loss: 0.007289263109366099, eval loss: 0.028414122760295868, accuracy: 0.625
Epoch 1 train loss: 0.007154501974582672, eval loss: 0.02818232774734497, accuracy: 0.625
Epoch 2 train loss: 0.0070277781536181765, eval loss: 0.0279165580868721, accuracy: 0.7083333333333334
Epoch 3 train loss: 0.0068934255590041476, eval loss: 0.027586786076426506, accuracy: 0.875
Epoch 4 train loss: 0.006743984296917915, eval loss: 0.02718072384595871, accuracy: 0.9166666666666666
Epoch 5 train loss: 0.006569778546690941, eval loss: 0.02669018879532814, accuracy: 0.9583333333333334
Epoch 6 train loss: 0.006367426986495654, eval loss: 0.026104480028152466, accuracy: 0.9583333333333334
Epoch 7 train loss: 0.006136055414875348, eval loss: 0.025405868887901306, accuracy: 0.9583333333333334
Epoch 8 train loss: 0.005873442317048709, eval loss: 0.02459285780787468, accuracy: 0.9583333333333334
Epoch 9 train loss: 0.005578001340230306, eval loss: 0.023648910224437714, accuracy: 0.9583333333333334
Epoch 10 train loss: 0.005250231052438418, eval loss: 0.022583134472370148, accuracy: 1.0
Epoch 11 train loss: 0.00489245851834615, eval loss: 0.02140319161117077, accuracy: 1.0
Epoch 12 train loss: 0.004508545311788718, eval loss: 0.020114794373512268, accuracy: 1.0
Epoch 13 train loss: 0.0041022930915157, eval loss: 0.01874128170311451, accuracy: 1.0
Epoch 14 train loss: 0.003680888252953688, eval loss: 0.017303526401519775, accuracy: 1.0
Epoch 15 train loss: 0.003253834011654059, eval loss: 0.01583213359117508, accuracy: 1.0
Epoch 16 train loss: 0.0028320234268903732, eval loss: 0.014367301017045975, accuracy: 1.0
Epoch 17 train loss: 0.002425888398041328, eval loss: 0.012947119772434235, accuracy: 1.0
Epoch 18 train loss: 0.0020443151394526162, eval loss: 0.011607213877141476, accuracy: 1.0
Epoch 19 train loss: 0.0016946160855392616, eval loss: 0.010366840288043022, accuracy: 1.0
