Epoch 0 train loss: 0.0073052942752838135, eval loss: 0.027563175186514854, accuracy: 0.625
Epoch 1 train loss: 0.007143540307879448, eval loss: 0.027162862941622734, accuracy: 0.625
Epoch 2 train loss: 0.006981430575251579, eval loss: 0.02669362723827362, accuracy: 0.875
Epoch 3 train loss: 0.006809833769996961, eval loss: 0.026136113330721855, accuracy: 0.9166666666666666
Epoch 4 train loss: 0.00662092554072539, eval loss: 0.025467855855822563, accuracy: 0.9583333333333334
Epoch 5 train loss: 0.006406947349508603, eval loss: 0.024676842615008354, accuracy: 1.0
Epoch 6 train loss: 0.006164452061057091, eval loss: 0.023743916302919388, accuracy: 1.0
Epoch 7 train loss: 0.0058928318321704865, eval loss: 0.022680990397930145, accuracy: 1.0
Epoch 8 train loss: 0.005591170862317085, eval loss: 0.021479953080415726, accuracy: 1.0
Epoch 9 train loss: 0.005257925018668175, eval loss: 0.020137783139944077, accuracy: 1.0
Epoch 10 train loss: 0.0048955824847022695, eval loss: 0.018687637522816658, accuracy: 1.0
Epoch 11 train loss: 0.004507552521924178, eval loss: 0.01715395413339138, accuracy: 1.0
Epoch 12 train loss: 0.0040993836397926016, eval loss: 0.015569484792649746, accuracy: 1.0
Epoch 13 train loss: 0.0036781122907996178, eval loss: 0.013964942656457424, accuracy: 1.0
Epoch 14 train loss: 0.003253086470067501, eval loss: 0.012368063442409039, accuracy: 1.0
Epoch 15 train loss: 0.002833560419579347, eval loss: 0.010820956900715828, accuracy: 1.0
Epoch 16 train loss: 0.0024305637925863266, eval loss: 0.009363052435219288, accuracy: 1.0
Epoch 17 train loss: 0.0020519805451234183, eval loss: 0.008023207075893879, accuracy: 1.0
Epoch 18 train loss: 0.0017051232668260734, eval loss: 0.006815463304519653, accuracy: 1.0
Epoch 19 train loss: 0.0013950748058656852, eval loss: 0.005757355131208897, accuracy: 1.0
