Epoch 0 train loss: 0.007252048080166181, eval loss: 0.02823096513748169, accuracy: 0.5833333333333334
Epoch 1 train loss: 0.007114393636584282, eval loss: 0.02792995050549507, accuracy: 0.6666666666666666
Epoch 2 train loss: 0.006980761885643005, eval loss: 0.027581896632909775, accuracy: 0.7916666666666666
Epoch 3 train loss: 0.0068387221544981, eval loss: 0.027159467339515686, accuracy: 0.875
Epoch 4 train loss: 0.00667751890917619, eval loss: 0.0266343392431736, accuracy: 0.9166666666666666
Epoch 5 train loss: 0.006487813467780749, eval loss: 0.02599991112947464, accuracy: 0.9166666666666666
Epoch 6 train loss: 0.006265512978037198, eval loss: 0.025233663618564606, accuracy: 0.9166666666666666
Epoch 7 train loss: 0.006008677805463473, eval loss: 0.024334490299224854, accuracy: 0.9166666666666666
Epoch 8 train loss: 0.005714538196722667, eval loss: 0.023309363052248955, accuracy: 0.9583333333333334
Epoch 9 train loss: 0.005383331328630447, eval loss: 0.0221564918756485, accuracy: 0.9583333333333334
Epoch 10 train loss: 0.0050170766189694405, eval loss: 0.020890546962618828, accuracy: 0.9583333333333334
Epoch 11 train loss: 0.004622408809761207, eval loss: 0.01953601837158203, accuracy: 0.9583333333333334
Epoch 12 train loss: 0.004206118794778983, eval loss: 0.018111400306224823, accuracy: 0.9583333333333334
Epoch 13 train loss: 0.0037757068251570067, eval loss: 0.016649868339300156, accuracy: 0.9583333333333334
Epoch 14 train loss: 0.0033405482148130736, eval loss: 0.015178266912698746, accuracy: 1.0
Epoch 15 train loss: 0.0029125744476914406, eval loss: 0.013727929443120956, accuracy: 1.0
Epoch 16 train loss: 0.002501164718220631, eval loss: 0.012333035469055176, accuracy: 1.0
Epoch 17 train loss: 0.002115818982323011, eval loss: 0.01102045550942421, accuracy: 1.0
Epoch 18 train loss: 0.001764071484406789, eval loss: 0.009805599227547646, accuracy: 1.0
Epoch 19 train loss: 0.0014512441121041775, eval loss: 0.00870528630912304, accuracy: 1.0
