Epoch 0 train loss: 0.007280275225639343, eval loss: 0.028020761907100677, accuracy: 0.5833333333333334
Epoch 1 train loss: 0.007116168737411499, eval loss: 0.02769378572702408, accuracy: 0.5833333333333334
Epoch 2 train loss: 0.006953549260894458, eval loss: 0.027312088757753372, accuracy: 0.6666666666666666
Epoch 3 train loss: 0.006776698554555575, eval loss: 0.026857562363147736, accuracy: 0.9166666666666666
Epoch 4 train loss: 0.006577597931027412, eval loss: 0.02630239725112915, accuracy: 0.9583333333333334
Epoch 5 train loss: 0.006351645415027936, eval loss: 0.02563535049557686, accuracy: 0.9166666666666666
Epoch 6 train loss: 0.006096875915924708, eval loss: 0.0248444564640522, accuracy: 0.9166666666666666
Epoch 7 train loss: 0.005808377638459206, eval loss: 0.023927409201860428, accuracy: 0.9166666666666666
Epoch 8 train loss: 0.0054882050802310305, eval loss: 0.022890601307153702, accuracy: 0.9166666666666666
Epoch 9 train loss: 0.0051380010942618055, eval loss: 0.021744512021541595, accuracy: 0.9166666666666666
Epoch 10 train loss: 0.004761730320751667, eval loss: 0.02048719860613346, accuracy: 0.9166666666666666
Epoch 11 train loss: 0.004362824993828933, eval loss: 0.019141409546136856, accuracy: 0.9166666666666666
Epoch 12 train loss: 0.003949041478335857, eval loss: 0.017740335315465927, accuracy: 0.9166666666666666
Epoch 13 train loss: 0.0035273386165499687, eval loss: 0.016301460564136505, accuracy: 0.9166666666666666
Epoch 14 train loss: 0.0031069557492931685, eval loss: 0.014846641570329666, accuracy: 0.9166666666666666
Epoch 15 train loss: 0.0026978682726621628, eval loss: 0.013412432745099068, accuracy: 0.9166666666666666
Epoch 16 train loss: 0.002308229605356852, eval loss: 0.012006428092718124, accuracy: 0.9166666666666666
Epoch 17 train loss: 0.0019449633546173573, eval loss: 0.010666672140359879, accuracy: 0.9166666666666666
Epoch 18 train loss: 0.0016149397318561871, eval loss: 0.009426536038517952, accuracy: 0.9166666666666666
Epoch 19 train loss: 0.0013217927577594917, eval loss: 0.008299408480525017, accuracy: 0.9166666666666666
