Epoch 0 train loss: 0.007223874951402347, accuracy: 0.5104166666666666, eval loss: 0.02863626927137375, accuracy: 0.5
Epoch 1 train loss: 0.007100154956181844, accuracy: 0.53125, eval loss: 0.028276465833187103, accuracy: 0.5833333333333334
Epoch 2 train loss: 0.006978631019592285, accuracy: 0.71875, eval loss: 0.02787575125694275, accuracy: 0.75
Epoch 3 train loss: 0.006847562889258067, accuracy: 0.8958333333333334, eval loss: 0.027394630014896393, accuracy: 0.7916666666666666
Epoch 4 train loss: 0.006697981928785642, accuracy: 0.9270833333333334, eval loss: 0.026829233393073082, accuracy: 0.9166666666666666
Epoch 5 train loss: 0.006523100038369496, accuracy: 0.96875, eval loss: 0.026150502264499664, accuracy: 0.9583333333333334
Epoch 6 train loss: 0.006320541724562645, accuracy: 0.9791666666666666, eval loss: 0.02535460889339447, accuracy: 0.9583333333333334
Epoch 7 train loss: 0.006091063842177391, accuracy: 0.9895833333333334, eval loss: 0.02444545179605484, accuracy: 0.9583333333333334
Epoch 8 train loss: 0.005832516898711522, accuracy: 0.9895833333333334, eval loss: 0.023430563509464264, accuracy: 0.9583333333333334
Epoch 9 train loss: 0.005544524018963178, accuracy: 0.9895833333333334, eval loss: 0.02229117602109909, accuracy: 0.9583333333333334
Epoch 10 train loss: 0.0052293042341868086, accuracy: 0.9895833333333334, eval loss: 0.02103998139500618, accuracy: 0.9583333333333334
Epoch 11 train loss: 0.004887947191794713, accuracy: 1.0, eval loss: 0.01969274878501892, accuracy: 0.9583333333333334
Epoch 12 train loss: 0.004523528118928273, accuracy: 1.0, eval loss: 0.018269183114171028, accuracy: 0.9583333333333334
Epoch 13 train loss: 0.00414093304425478, accuracy: 1.0, eval loss: 0.016779234632849693, accuracy: 0.9583333333333334
Epoch 14 train loss: 0.003745144853989283, accuracy: 1.0, eval loss: 0.015244781039655209, accuracy: 0.9583333333333334
Epoch 15 train loss: 0.003343544900417328, accuracy: 1.0, eval loss: 0.01368832029402256, accuracy: 0.9583333333333334
Epoch 16 train loss: 0.0029434614504377046, accuracy: 1.0, eval loss: 0.012137630954384804, accuracy: 0.9583333333333334
Epoch 17 train loss: 0.002553653127203385, accuracy: 1.0, eval loss: 0.010619650594890118, accuracy: 0.9583333333333334
Epoch 18 train loss: 0.0021816260802249112, accuracy: 1.0, eval loss: 0.009176179766654968, accuracy: 1.0
Epoch 19 train loss: 0.001835212887575229, accuracy: 1.0, eval loss: 0.007831810042262077, accuracy: 1.0
