Epoch 0 train loss: 0.007245359321435292, accuracy: 0.5, eval loss: 0.028626902028918266, accuracy: 0.5
Epoch 1 train loss: 0.007127741351723671, accuracy: 0.5104166666666666, eval loss: 0.028223633766174316, accuracy: 0.5416666666666666
Epoch 2 train loss: 0.0070112428317467375, accuracy: 0.5625, eval loss: 0.027770597487688065, accuracy: 0.625
Epoch 3 train loss: 0.006883672749002774, accuracy: 0.7916666666666666, eval loss: 0.027228964492678642, accuracy: 0.875
Epoch 4 train loss: 0.0067363449682792025, accuracy: 0.9583333333333334, eval loss: 0.026571620255708694, accuracy: 0.9583333333333334
Epoch 5 train loss: 0.006563040738304456, accuracy: 0.9583333333333334, eval loss: 0.025782383978366852, accuracy: 1.0
Epoch 6 train loss: 0.006360047186414401, accuracy: 0.9791666666666666, eval loss: 0.024864502251148224, accuracy: 1.0
Epoch 7 train loss: 0.006124844774603844, accuracy: 1.0, eval loss: 0.02381078526377678, accuracy: 1.0
Epoch 8 train loss: 0.005855487038691838, accuracy: 1.0, eval loss: 0.022605132311582565, accuracy: 1.0
Epoch 9 train loss: 0.005551957214872043, accuracy: 1.0, eval loss: 0.02125711552798748, accuracy: 1.0
Epoch 10 train loss: 0.005217026298244794, accuracy: 1.0, eval loss: 0.019775841385126114, accuracy: 1.0
Epoch 11 train loss: 0.004851280090709527, accuracy: 1.0, eval loss: 0.018189221620559692, accuracy: 1.0
Epoch 12 train loss: 0.004460207807521026, accuracy: 1.0, eval loss: 0.01652907393872738, accuracy: 1.0
Epoch 13 train loss: 0.004049087253709634, accuracy: 1.0, eval loss: 0.01482158899307251, accuracy: 1.0
Epoch 14 train loss: 0.003625675104558468, accuracy: 1.0, eval loss: 0.013104528188705444, accuracy: 1.0
Epoch 15 train loss: 0.0031988021607200303, accuracy: 1.0, eval loss: 0.011414038017392159, accuracy: 1.0
Epoch 16 train loss: 0.002777330887814363, accuracy: 1.0, eval loss: 0.009796522557735443, accuracy: 1.0
Epoch 17 train loss: 0.0023723190339903035, accuracy: 1.0, eval loss: 0.008297027088701725, accuracy: 1.0
Epoch 18 train loss: 0.001992803066968918, accuracy: 1.0, eval loss: 0.006938807666301727, accuracy: 1.0
Epoch 19 train loss: 0.0016475628751019638, accuracy: 1.0, eval loss: 0.005743918940424919, accuracy: 1.0
