Epoch 0 train loss: 0.007228525976339976, accuracy: 0.4895833333333333, eval loss: 0.028763659298419952, accuracy: 0.5416666666666666
Epoch 1 train loss: 0.007104404891530673, accuracy: 0.65625, eval loss: 0.02849983237683773, accuracy: 0.5416666666666666
Epoch 2 train loss: 0.00697903148829937, accuracy: 0.8229166666666666, eval loss: 0.028188874945044518, accuracy: 0.5833333333333334
Epoch 3 train loss: 0.006838546444972356, accuracy: 0.8854166666666666, eval loss: 0.027808023616671562, accuracy: 0.6666666666666666
Epoch 4 train loss: 0.006674338753024737, accuracy: 0.9479166666666666, eval loss: 0.02733026258647442, accuracy: 0.7083333333333334
Epoch 5 train loss: 0.006480058034261067, accuracy: 0.96875, eval loss: 0.026745356619358063, accuracy: 0.75
Epoch 6 train loss: 0.006254453832904498, accuracy: 0.96875, eval loss: 0.026057638227939606, accuracy: 0.7916666666666666
Epoch 7 train loss: 0.005993579203883807, accuracy: 0.96875, eval loss: 0.025252914056181908, accuracy: 0.875
Epoch 8 train loss: 0.00569882554312547, accuracy: 0.96875, eval loss: 0.024321675300598145, accuracy: 0.875
Epoch 9 train loss: 0.005371517812212308, accuracy: 0.96875, eval loss: 0.023254211992025375, accuracy: 0.9166666666666666
Epoch 10 train loss: 0.005012683880825837, accuracy: 0.96875, eval loss: 0.022060208022594452, accuracy: 0.9166666666666666
Epoch 11 train loss: 0.004627966322004795, accuracy: 0.96875, eval loss: 0.020755793899297714, accuracy: 0.9166666666666666
Epoch 12 train loss: 0.004223404762645562, accuracy: 0.96875, eval loss: 0.019341137260198593, accuracy: 0.9166666666666666
Epoch 13 train loss: 0.003805159591138363, accuracy: 0.96875, eval loss: 0.017838746309280396, accuracy: 0.9166666666666666
Epoch 14 train loss: 0.0033819107338786125, accuracy: 0.9791666666666666, eval loss: 0.01627984642982483, accuracy: 0.9583333333333334
Epoch 15 train loss: 0.0029634879902005196, accuracy: 0.9895833333333334, eval loss: 0.014693772420287132, accuracy: 0.9583333333333334
Epoch 16 train loss: 0.0025596067619820437, accuracy: 0.9895833333333334, eval loss: 0.0131168058142066, accuracy: 0.9583333333333334
Epoch 17 train loss: 0.0021793933895727, accuracy: 0.9895833333333334, eval loss: 0.011592341586947441, accuracy: 0.9583333333333334
Epoch 18 train loss: 0.0018295682966709137, accuracy: 0.9895833333333334, eval loss: 0.010139484889805317, accuracy: 0.9583333333333334
Epoch 19 train loss: 0.001515911581615607, accuracy: 1.0, eval loss: 0.008776159025728703, accuracy: 0.9583333333333334
