Epoch 0 train loss: 0.007260257999102275, accuracy: 0.4895833333333333, eval loss: 0.028440071269869804, accuracy: 0.5833333333333334
Epoch 1 train loss: 0.007106420894463857, accuracy: 0.5416666666666666, eval loss: 0.02806483581662178, accuracy: 0.75
Epoch 2 train loss: 0.006954830760757129, accuracy: 0.84375, eval loss: 0.027639729902148247, accuracy: 0.8333333333333334
Epoch 3 train loss: 0.006791006773710251, accuracy: 0.9375, eval loss: 0.027138210833072662, accuracy: 0.9166666666666666
Epoch 4 train loss: 0.006603816524147987, accuracy: 0.9583333333333334, eval loss: 0.026536669582128525, accuracy: 0.9166666666666666
Epoch 5 train loss: 0.006386992211143176, accuracy: 0.9895833333333334, eval loss: 0.025820843875408173, accuracy: 0.9166666666666666
Epoch 6 train loss: 0.006139995530247688, accuracy: 0.9895833333333334, eval loss: 0.024976400658488274, accuracy: 0.9166666666666666
Epoch 7 train loss: 0.005859743182857831, accuracy: 0.9895833333333334, eval loss: 0.024006573483347893, accuracy: 0.9166666666666666
Epoch 8 train loss: 0.005546015376845996, accuracy: 0.9895833333333334, eval loss: 0.022905651479959488, accuracy: 0.9166666666666666
Epoch 9 train loss: 0.0052002013350526495, accuracy: 0.9895833333333334, eval loss: 0.021687909960746765, accuracy: 0.9166666666666666
Epoch 10 train loss: 0.004825601664682229, accuracy: 0.9895833333333334, eval loss: 0.020361509174108505, accuracy: 0.9166666666666666
Epoch 11 train loss: 0.004427123504380385, accuracy: 0.9895833333333334, eval loss: 0.018965423107147217, accuracy: 0.9166666666666666
Epoch 12 train loss: 0.004013038240373135, accuracy: 0.9895833333333334, eval loss: 0.01752598024904728, accuracy: 0.9166666666666666
Epoch 13 train loss: 0.003591185746093591, accuracy: 0.9895833333333334, eval loss: 0.016072383150458336, accuracy: 0.9166666666666666
Epoch 14 train loss: 0.0031708708653847375, accuracy: 1.0, eval loss: 0.014639805071055889, accuracy: 0.9166666666666666
Epoch 15 train loss: 0.0027597791825731597, accuracy: 1.0, eval loss: 0.013259119354188442, accuracy: 0.9166666666666666
Epoch 16 train loss: 0.002366105249772469, accuracy: 1.0, eval loss: 0.011955810710787773, accuracy: 0.9166666666666666
Epoch 17 train loss: 0.0019977764847377935, accuracy: 1.0, eval loss: 0.010757409036159515, accuracy: 0.9166666666666666
Epoch 18 train loss: 0.0016614037255446117, accuracy: 1.0, eval loss: 0.009697508998215199, accuracy: 0.9166666666666666
Epoch 19 train loss: 0.001361238770186901, accuracy: 1.0, eval loss: 0.008792601525783539, accuracy: 0.9166666666666666
