Epoch 0 train loss: 0.007223897303144137, accuracy: 0.4791666666666667, eval loss: 0.028589753434062004, accuracy: 0.6666666666666666
Epoch 1 train loss: 0.007095654184619586, accuracy: 0.78125, eval loss: 0.028278877958655357, accuracy: 0.8333333333333334
Epoch 2 train loss: 0.006968775764107704, accuracy: 0.8020833333333334, eval loss: 0.027918031439185143, accuracy: 0.8333333333333334
Epoch 3 train loss: 0.006830837577581406, accuracy: 0.8854166666666666, eval loss: 0.02746465615928173, accuracy: 0.875
Epoch 4 train loss: 0.006672441338499387, accuracy: 0.8854166666666666, eval loss: 0.026908686384558678, accuracy: 0.875
Epoch 5 train loss: 0.006487284476558368, accuracy: 0.8958333333333334, eval loss: 0.026233479380607605, accuracy: 0.9166666666666666
Epoch 6 train loss: 0.006271524354815483, accuracy: 0.9375, eval loss: 0.02542669139802456, accuracy: 0.9166666666666666
Epoch 7 train loss: 0.00602335420747598, accuracy: 0.9479166666666666, eval loss: 0.02449849806725979, accuracy: 0.9166666666666666
Epoch 8 train loss: 0.0057439375668764114, accuracy: 0.9583333333333334, eval loss: 0.023451384156942368, accuracy: 0.9583333333333334
Epoch 9 train loss: 0.0054336246103048325, accuracy: 0.9791666666666666, eval loss: 0.022284775972366333, accuracy: 0.9166666666666666
Epoch 10 train loss: 0.005092919804155827, accuracy: 0.9791666666666666, eval loss: 0.021009836345911026, accuracy: 0.9166666666666666
Epoch 11 train loss: 0.004722153457502524, accuracy: 0.9791666666666666, eval loss: 0.01963929273188114, accuracy: 0.9583333333333334
Epoch 12 train loss: 0.0043260206778844195, accuracy: 0.9791666666666666, eval loss: 0.018186327069997787, accuracy: 0.9583333333333334
Epoch 13 train loss: 0.00391102209687233, accuracy: 0.9791666666666666, eval loss: 0.01668422855436802, accuracy: 0.9583333333333334
Epoch 14 train loss: 0.00348583764086167, accuracy: 0.9895833333333334, eval loss: 0.015157613903284073, accuracy: 0.9583333333333334
Epoch 15 train loss: 0.0030607584243019423, accuracy: 0.9895833333333334, eval loss: 0.013651959598064423, accuracy: 0.9583333333333334
Epoch 16 train loss: 0.0026461854577064514, accuracy: 1.0, eval loss: 0.01220746710896492, accuracy: 0.9583333333333334
Epoch 17 train loss: 0.002251921221613884, accuracy: 1.0, eval loss: 0.010860569775104523, accuracy: 0.9583333333333334
Epoch 18 train loss: 0.001886191467444102, accuracy: 1.0, eval loss: 0.009630583226680756, accuracy: 0.9583333333333334
Epoch 19 train loss: 0.00155628922705849, accuracy: 1.0, eval loss: 0.008519453927874565, accuracy: 0.9583333333333334
