Epoch 0 train loss: 0.007206569736202558, accuracy: 0.5729166666666666, eval loss: 0.028416750952601433, accuracy: 0.6666666666666666
Epoch 1 train loss: 0.007082917417089145, accuracy: 0.8020833333333334, eval loss: 0.02803231030702591, accuracy: 0.8333333333333334
Epoch 2 train loss: 0.006959939996401469, accuracy: 0.8333333333333334, eval loss: 0.027597486972808838, accuracy: 0.875
Epoch 3 train loss: 0.0068244220068057375, accuracy: 0.8854166666666666, eval loss: 0.02707306109368801, accuracy: 0.875
Epoch 4 train loss: 0.0066692158579826355, accuracy: 0.90625, eval loss: 0.026454254984855652, accuracy: 0.875
Epoch 5 train loss: 0.006490337351957957, accuracy: 0.9375, eval loss: 0.02573186717927456, accuracy: 0.875
Epoch 6 train loss: 0.006286774451533954, accuracy: 0.9791666666666666, eval loss: 0.02491523139178753, accuracy: 0.875
Epoch 7 train loss: 0.006057258074482282, accuracy: 0.9791666666666666, eval loss: 0.024006985127925873, accuracy: 0.875
Epoch 8 train loss: 0.00579889677464962, accuracy: 0.9791666666666666, eval loss: 0.02299649268388748, accuracy: 0.875
Epoch 9 train loss: 0.005512351791063945, accuracy: 0.9791666666666666, eval loss: 0.021876327693462372, accuracy: 0.9166666666666666
Epoch 10 train loss: 0.005199655890464783, accuracy: 0.9791666666666666, eval loss: 0.020648296922445297, accuracy: 0.9166666666666666
Epoch 11 train loss: 0.004861805898447831, accuracy: 0.9895833333333334, eval loss: 0.019323088228702545, accuracy: 0.9583333333333334
Epoch 12 train loss: 0.00450126485278209, accuracy: 0.9895833333333334, eval loss: 0.017906513065099716, accuracy: 0.9583333333333334
Epoch 13 train loss: 0.0041219185416897135, accuracy: 1.0, eval loss: 0.01642751134932041, accuracy: 0.9583333333333334
Epoch 14 train loss: 0.003727607118586699, accuracy: 1.0, eval loss: 0.014898177236318588, accuracy: 0.9583333333333334
Epoch 15 train loss: 0.0033251714582244554, accuracy: 1.0, eval loss: 0.013352993875741959, accuracy: 0.9583333333333334
Epoch 16 train loss: 0.0029222785184780755, accuracy: 1.0, eval loss: 0.011829509399831295, accuracy: 0.9583333333333334
Epoch 17 train loss: 0.002529412042349577, accuracy: 1.0, eval loss: 0.010357685387134552, accuracy: 0.9583333333333334
Epoch 18 train loss: 0.002155550910780827, accuracy: 1.0, eval loss: 0.008975088596343994, accuracy: 0.9583333333333334
Epoch 19 train loss: 0.001807253963003556, accuracy: 1.0, eval loss: 0.007725020870566368, accuracy: 0.9583333333333334
