Epoch 0 train loss: 0.007198576504985492, accuracy: 0.53125, eval loss: 0.029256192967295647, accuracy: 0.375
Epoch 1 train loss: 0.007053820416331291, accuracy: 0.53125, eval loss: 0.028892159461975098, accuracy: 0.4166666666666667
Epoch 2 train loss: 0.006903686250249545, accuracy: 0.6145833333333334, eval loss: 0.028418710455298424, accuracy: 0.5
Epoch 3 train loss: 0.006736532474557559, accuracy: 0.6979166666666666, eval loss: 0.027826746925711632, accuracy: 0.625
Epoch 4 train loss: 0.006544831519325574, accuracy: 0.8229166666666666, eval loss: 0.027104653418064117, accuracy: 0.75
Epoch 5 train loss: 0.006325013314684232, accuracy: 0.8958333333333334, eval loss: 0.026253655552864075, accuracy: 0.7916666666666666
Epoch 6 train loss: 0.006072204560041428, accuracy: 0.96875, eval loss: 0.02527834288775921, accuracy: 0.8333333333333334
Epoch 7 train loss: 0.0057849884033203125, accuracy: 0.96875, eval loss: 0.024170130491256714, accuracy: 0.8333333333333334
Epoch 8 train loss: 0.005466846749186516, accuracy: 0.9791666666666666, eval loss: 0.02294023148715496, accuracy: 0.8333333333333334
Epoch 9 train loss: 0.005121809430420399, accuracy: 0.96875, eval loss: 0.021613679826259613, accuracy: 0.875
Epoch 10 train loss: 0.0047552576288580894, accuracy: 0.9791666666666666, eval loss: 0.02021920308470726, accuracy: 0.9166666666666666
Epoch 11 train loss: 0.004372764378786087, accuracy: 0.9791666666666666, eval loss: 0.01878664828836918, accuracy: 0.9583333333333334
Epoch 12 train loss: 0.003981462679803371, accuracy: 0.9895833333333334, eval loss: 0.01735370233654976, accuracy: 0.9583333333333334
Epoch 13 train loss: 0.003589421510696411, accuracy: 0.9895833333333334, eval loss: 0.015950646251440048, accuracy: 0.9583333333333334
Epoch 14 train loss: 0.003202615616222223, accuracy: 0.9895833333333334, eval loss: 0.014609239064157009, accuracy: 0.9583333333333334
Epoch 15 train loss: 0.002825809953113397, accuracy: 0.9895833333333334, eval loss: 0.013327090069651604, accuracy: 0.9583333333333334
Epoch 16 train loss: 0.0024638444495697818, accuracy: 1.0, eval loss: 0.01213360857218504, accuracy: 0.9583333333333334
Epoch 17 train loss: 0.002122512242446343, accuracy: 1.0, eval loss: 0.01102478988468647, accuracy: 0.9583333333333334
Epoch 18 train loss: 0.0018041697330772877, accuracy: 1.0, eval loss: 0.009997853077948093, accuracy: 0.9583333333333334
Epoch 19 train loss: 0.001512163473914067, accuracy: 1.0, eval loss: 0.00905398279428482, accuracy: 0.9583333333333334
