Epoch 0 train loss: 0.0071786971141894656, accuracy: 0.5, eval loss: 0.028362829238176346, accuracy: 0.5833333333333334
Epoch 1 train loss: 0.007055142894387245, accuracy: 0.5833333333333334, eval loss: 0.02800380066037178, accuracy: 0.6666666666666666
Epoch 2 train loss: 0.006922511383891106, accuracy: 0.84375, eval loss: 0.027580708265304565, accuracy: 0.8333333333333334
Epoch 3 train loss: 0.006769771377245585, accuracy: 0.9479166666666666, eval loss: 0.02707148902118206, accuracy: 0.9583333333333334
Epoch 4 train loss: 0.0065934254477421446, accuracy: 0.9583333333333334, eval loss: 0.02648083120584488, accuracy: 0.9583333333333334
Epoch 5 train loss: 0.006392706806461017, accuracy: 0.9583333333333334, eval loss: 0.02579597383737564, accuracy: 0.9583333333333334
Epoch 6 train loss: 0.006162297601501147, accuracy: 0.9791666666666666, eval loss: 0.025001876056194305, accuracy: 0.9583333333333334
Epoch 7 train loss: 0.005899590129653613, accuracy: 0.9791666666666666, eval loss: 0.024085132405161858, accuracy: 0.9583333333333334
Epoch 8 train loss: 0.005602737267812093, accuracy: 0.9895833333333334, eval loss: 0.02305120974779129, accuracy: 0.9583333333333334
Epoch 9 train loss: 0.0052746764073769254, accuracy: 0.9895833333333334, eval loss: 0.021910708397626877, accuracy: 0.9583333333333334
Epoch 10 train loss: 0.0049179404353102045, accuracy: 1.0, eval loss: 0.020685603842139244, accuracy: 0.9583333333333334
Epoch 11 train loss: 0.0045358094697197275, accuracy: 1.0, eval loss: 0.019389525055885315, accuracy: 0.9583333333333334
Epoch 12 train loss: 0.004134871376057466, accuracy: 1.0, eval loss: 0.018038716167211533, accuracy: 0.9583333333333334
Epoch 13 train loss: 0.0037220542629559836, accuracy: 1.0, eval loss: 0.01666199043393135, accuracy: 0.9583333333333334
Epoch 14 train loss: 0.0033051970725258193, accuracy: 1.0, eval loss: 0.015292439609766006, accuracy: 0.9583333333333334
Epoch 15 train loss: 0.0028926248972614608, accuracy: 1.0, eval loss: 0.01396303903311491, accuracy: 0.9583333333333334
Epoch 16 train loss: 0.002493783055494229, accuracy: 1.0, eval loss: 0.012700273655354977, accuracy: 0.9583333333333334
Epoch 17 train loss: 0.002117127956201633, accuracy: 1.0, eval loss: 0.011523137800395489, accuracy: 0.9583333333333334
Epoch 18 train loss: 0.001770416119446357, accuracy: 1.0, eval loss: 0.010457567870616913, accuracy: 0.9583333333333334
Epoch 19 train loss: 0.0014589430453876655, accuracy: 1.0, eval loss: 0.009521352127194405, accuracy: 0.9583333333333334
