Epoch 0 train loss: 0.007201395307977994, accuracy: 0.5208333333333334, eval loss: 0.028922131285071373, accuracy: 0.4166666666666667
Epoch 1 train loss: 0.0070709964881340666, accuracy: 0.5208333333333334, eval loss: 0.028553199023008347, accuracy: 0.4166666666666667
Epoch 2 train loss: 0.0069376155734062195, accuracy: 0.5625, eval loss: 0.028140675276517868, accuracy: 0.5
Epoch 3 train loss: 0.006789737070600192, accuracy: 0.6458333333333334, eval loss: 0.02765614539384842, accuracy: 0.5
Epoch 4 train loss: 0.006619634727636973, accuracy: 0.71875, eval loss: 0.027087798342108727, accuracy: 0.6666666666666666
Epoch 5 train loss: 0.006422550107041995, accuracy: 0.8125, eval loss: 0.02642676793038845, accuracy: 0.75
Epoch 6 train loss: 0.006195543333888054, accuracy: 0.8229166666666666, eval loss: 0.025660600513219833, accuracy: 0.8333333333333334
Epoch 7 train loss: 0.0059373217324415846, accuracy: 0.875, eval loss: 0.024782750755548477, accuracy: 0.8333333333333334
Epoch 8 train loss: 0.005647563065091769, accuracy: 0.90625, eval loss: 0.023785434663295746, accuracy: 0.875
Epoch 9 train loss: 0.005327677354216576, accuracy: 0.9166666666666666, eval loss: 0.022665977478027344, accuracy: 0.9166666666666666
Epoch 10 train loss: 0.004980594851076603, accuracy: 0.9375, eval loss: 0.021425781771540642, accuracy: 0.9583333333333334
Epoch 11 train loss: 0.004609624234338601, accuracy: 0.9583333333333334, eval loss: 0.020075028762221336, accuracy: 1.0
Epoch 12 train loss: 0.004219048035641511, accuracy: 0.96875, eval loss: 0.018632378429174423, accuracy: 1.0
Epoch 13 train loss: 0.003815311938524246, accuracy: 0.96875, eval loss: 0.017114713788032532, accuracy: 1.0
Epoch 14 train loss: 0.003405571294327577, accuracy: 0.9791666666666666, eval loss: 0.01555695291608572, accuracy: 1.0
Epoch 15 train loss: 0.002997709127763907, accuracy: 0.9895833333333334, eval loss: 0.013993507251143456, accuracy: 1.0
Epoch 16 train loss: 0.002601074675718943, accuracy: 1.0, eval loss: 0.01245073601603508, accuracy: 1.0
Epoch 17 train loss: 0.0022229308572908244, accuracy: 1.0, eval loss: 0.010961251333355904, accuracy: 1.0
Epoch 18 train loss: 0.0018702211479345958, accuracy: 1.0, eval loss: 0.009567955508828163, accuracy: 1.0
Epoch 19 train loss: 0.0015494562685489655, accuracy: 1.0, eval loss: 0.008295873180031776, accuracy: 1.0
