Epoch 0 train loss: 0.007292702794075012, accuracy: 0.4791666666666667, eval loss: 0.02842123620212078, accuracy: 0.5833333333333334
Epoch 1 train loss: 0.007177712395787239, accuracy: 0.4791666666666667, eval loss: 0.028177626430988312, accuracy: 0.5833333333333334
Epoch 2 train loss: 0.007065834477543831, accuracy: 0.4791666666666667, eval loss: 0.027893155813217163, accuracy: 0.6666666666666666
Epoch 3 train loss: 0.006944265216588974, accuracy: 0.6354166666666666, eval loss: 0.027531897649168968, accuracy: 0.75
Epoch 4 train loss: 0.006803913041949272, accuracy: 0.8645833333333334, eval loss: 0.027074076235294342, accuracy: 0.7916666666666666
Epoch 5 train loss: 0.00663955882191658, accuracy: 0.96875, eval loss: 0.026515699923038483, accuracy: 0.8333333333333334
Epoch 6 train loss: 0.006446157271663348, accuracy: 0.9895833333333334, eval loss: 0.02582601271569729, accuracy: 0.9583333333333334
Epoch 7 train loss: 0.006219652170936267, accuracy: 1.0, eval loss: 0.02499617449939251, accuracy: 1.0
Epoch 8 train loss: 0.00595794493953387, accuracy: 1.0, eval loss: 0.02402457594871521, accuracy: 1.0
Epoch 9 train loss: 0.0056581950436035795, accuracy: 1.0, eval loss: 0.022901374846696854, accuracy: 1.0
Epoch 10 train loss: 0.005321492751439412, accuracy: 1.0, eval loss: 0.021647833287715912, accuracy: 1.0
Epoch 11 train loss: 0.004951143947740396, accuracy: 1.0, eval loss: 0.02027285099029541, accuracy: 1.0
Epoch 12 train loss: 0.004552282392978668, accuracy: 0.9895833333333334, eval loss: 0.018796097487211227, accuracy: 1.0
Epoch 13 train loss: 0.0041318076352278394, accuracy: 0.9895833333333334, eval loss: 0.017239969223737717, accuracy: 1.0
Epoch 14 train loss: 0.003698637088139852, accuracy: 0.9895833333333334, eval loss: 0.0156420785933733, accuracy: 1.0
Epoch 15 train loss: 0.003263312391936779, accuracy: 0.9895833333333334, eval loss: 0.01403926219791174, accuracy: 1.0
Epoch 16 train loss: 0.0028365608304739, accuracy: 0.9895833333333334, eval loss: 0.01247527077794075, accuracy: 1.0
Epoch 17 train loss: 0.0024290067764619985, accuracy: 0.9895833333333334, eval loss: 0.01097968127578497, accuracy: 1.0
Epoch 18 train loss: 0.002049823602040609, accuracy: 0.9895833333333334, eval loss: 0.009580935351550579, accuracy: 1.0
Epoch 19 train loss: 0.0017056022770702839, accuracy: 1.0, eval loss: 0.008296635933220387, accuracy: 1.0
