Epoch 0 train loss: 0.0072201235840717954, accuracy: 0.5104166666666666, eval loss: 0.027635127305984497, accuracy: 0.44
Epoch 1 train loss: 0.007164688780903816, accuracy: 0.5104166666666666, eval loss: 0.02744772657752037, accuracy: 0.48
Epoch 2 train loss: 0.007104652002453804, accuracy: 0.5729166666666666, eval loss: 0.027193304151296616, accuracy: 0.64
Epoch 3 train loss: 0.007030275339881579, accuracy: 0.7395833333333334, eval loss: 0.02686331234872341, accuracy: 0.8
Epoch 4 train loss: 0.0069396353016297025, accuracy: 0.8229166666666666, eval loss: 0.02645748294889927, accuracy: 0.92
Epoch 5 train loss: 0.006831929708520572, accuracy: 0.9375, eval loss: 0.025986284017562866, accuracy: 0.96
Epoch 6 train loss: 0.00670791541536649, accuracy: 0.9479166666666666, eval loss: 0.025461800396442413, accuracy: 0.96
Epoch 7 train loss: 0.006568868334094684, accuracy: 0.9375, eval loss: 0.024875909090042114, accuracy: 0.96
Epoch 8 train loss: 0.006414493545889854, accuracy: 0.9583333333333334, eval loss: 0.024233132600784302, accuracy: 0.96
Epoch 9 train loss: 0.006243765975038211, accuracy: 0.9791666666666666, eval loss: 0.02354268915951252, accuracy: 0.96
Epoch 10 train loss: 0.006057141348719597, accuracy: 0.9791666666666666, eval loss: 0.02279302105307579, accuracy: 0.96
Epoch 11 train loss: 0.005854255830248197, accuracy: 0.9791666666666666, eval loss: 0.021977698430418968, accuracy: 0.96
Epoch 12 train loss: 0.005633029465874036, accuracy: 0.9791666666666666, eval loss: 0.02109982632100582, accuracy: 0.96
Epoch 13 train loss: 0.00539438674847285, accuracy: 0.9791666666666666, eval loss: 0.020163530483841896, accuracy: 0.96
Epoch 14 train loss: 0.005138038657605648, accuracy: 0.9791666666666666, eval loss: 0.01917642168700695, accuracy: 0.96
Epoch 15 train loss: 0.004866292079289754, accuracy: 0.9791666666666666, eval loss: 0.01814277283847332, accuracy: 0.96
Epoch 16 train loss: 0.004581251802543799, accuracy: 0.9791666666666666, eval loss: 0.01707102730870247, accuracy: 0.96
Epoch 17 train loss: 0.004285525841017564, accuracy: 0.9791666666666666, eval loss: 0.015970643609762192, accuracy: 0.96
Epoch 18 train loss: 0.003981025579075019, accuracy: 0.9791666666666666, eval loss: 0.014850915409624577, accuracy: 0.96
Epoch 19 train loss: 0.003670675369600455, accuracy: 0.9791666666666666, eval loss: 0.01373087614774704, accuracy: 0.96
