Epoch 0 train loss: 0.007251674930254619, accuracy: 0.4583333333333333, eval loss: 0.027428388595581055, accuracy: 0.64
Epoch 1 train loss: 0.007188545539975166, accuracy: 0.4583333333333333, eval loss: 0.027397044003009796, accuracy: 0.8
Epoch 2 train loss: 0.007119852428634961, accuracy: 0.8854166666666666, eval loss: 0.02730853669345379, accuracy: 0.76
Epoch 3 train loss: 0.007033777112762134, accuracy: 0.9895833333333334, eval loss: 0.027161965146660805, accuracy: 0.72
Epoch 4 train loss: 0.006927890703082085, accuracy: 0.9270833333333334, eval loss: 0.026950344443321228, accuracy: 0.68
Epoch 5 train loss: 0.006801333899299304, accuracy: 0.9166666666666666, eval loss: 0.026680443435907364, accuracy: 0.6
Epoch 6 train loss: 0.006653072312474251, accuracy: 0.90625, eval loss: 0.02635669894516468, accuracy: 0.6
Epoch 7 train loss: 0.006484075759847959, accuracy: 0.90625, eval loss: 0.025984112173318863, accuracy: 0.6
Epoch 8 train loss: 0.006293838222821553, accuracy: 0.90625, eval loss: 0.025561150163412094, accuracy: 0.72
Epoch 9 train loss: 0.006083056951562564, accuracy: 0.9166666666666666, eval loss: 0.0250917449593544, accuracy: 0.72
Epoch 10 train loss: 0.005851987128456433, accuracy: 0.9166666666666666, eval loss: 0.02457556128501892, accuracy: 0.76
Epoch 11 train loss: 0.005601627131303151, accuracy: 0.9166666666666666, eval loss: 0.02401401661336422, accuracy: 0.76
Epoch 12 train loss: 0.005331720535953839, accuracy: 0.9270833333333334, eval loss: 0.02339918725192547, accuracy: 0.76
Epoch 13 train loss: 0.005043449501196544, accuracy: 0.9375, eval loss: 0.022737476974725723, accuracy: 0.76
Epoch 14 train loss: 0.004738465261956056, accuracy: 0.9583333333333334, eval loss: 0.022036613896489143, accuracy: 0.76
Epoch 15 train loss: 0.004419503112634023, accuracy: 0.9583333333333334, eval loss: 0.021309442818164825, accuracy: 0.8
Epoch 16 train loss: 0.004090393893420696, accuracy: 0.9583333333333334, eval loss: 0.02055726945400238, accuracy: 0.8
Epoch 17 train loss: 0.003756145325799783, accuracy: 0.96875, eval loss: 0.01978474296629429, accuracy: 0.88
Epoch 18 train loss: 0.0034210613618294397, accuracy: 0.9791666666666666, eval loss: 0.019006378948688507, accuracy: 0.88
Epoch 19 train loss: 0.0030898641174038253, accuracy: 0.9791666666666666, eval loss: 0.018219968304038048, accuracy: 0.88
