Epoch 0 train loss: 0.007255372901757558, accuracy: 0.4791666666666667, eval loss: 0.02734994888305664, accuracy: 0.56
Epoch 1 train loss: 0.007190624872843425, accuracy: 0.4791666666666667, eval loss: 0.02716090902686119, accuracy: 0.56
Epoch 2 train loss: 0.007121933624148369, accuracy: 0.4791666666666667, eval loss: 0.026912521570920944, accuracy: 0.76
Epoch 3 train loss: 0.007038566594322522, accuracy: 0.75, eval loss: 0.0266004279255867, accuracy: 0.96
Epoch 4 train loss: 0.0069375621775786085, accuracy: 0.9479166666666666, eval loss: 0.026221640408039093, accuracy: 0.96
Epoch 5 train loss: 0.006816894436875979, accuracy: 0.9791666666666666, eval loss: 0.025776637718081474, accuracy: 0.92
Epoch 6 train loss: 0.006677954147259395, accuracy: 0.9479166666666666, eval loss: 0.025262102484703064, accuracy: 0.96
Epoch 7 train loss: 0.006521084035436313, accuracy: 0.9375, eval loss: 0.02467918023467064, accuracy: 0.96
Epoch 8 train loss: 0.006345512345433235, accuracy: 0.9270833333333334, eval loss: 0.024035615846514702, accuracy: 0.96
Epoch 9 train loss: 0.006151948124170303, accuracy: 0.9270833333333334, eval loss: 0.023334363475441933, accuracy: 0.96
Epoch 10 train loss: 0.005941225215792656, accuracy: 0.9270833333333334, eval loss: 0.022579817101359367, accuracy: 0.92
Epoch 11 train loss: 0.005714643746614456, accuracy: 0.9270833333333334, eval loss: 0.021774131804704666, accuracy: 0.92
Epoch 12 train loss: 0.005473376562198003, accuracy: 0.9270833333333334, eval loss: 0.020919332280755043, accuracy: 0.92
Epoch 13 train loss: 0.005217527970671654, accuracy: 0.9270833333333334, eval loss: 0.02002282813191414, accuracy: 0.92
Epoch 14 train loss: 0.004948859723905723, accuracy: 0.9375, eval loss: 0.019095027819275856, accuracy: 0.92
Epoch 15 train loss: 0.0046706488355994225, accuracy: 0.9479166666666666, eval loss: 0.018142465502023697, accuracy: 0.92
Epoch 16 train loss: 0.004385588380197684, accuracy: 0.9583333333333334, eval loss: 0.017169302329421043, accuracy: 0.96
Epoch 17 train loss: 0.004097419790923595, accuracy: 0.9583333333333334, eval loss: 0.016187170520424843, accuracy: 0.96
Epoch 18 train loss: 0.0038102135683099427, accuracy: 0.9583333333333334, eval loss: 0.01521009486168623, accuracy: 0.96
Epoch 19 train loss: 0.003526700039704641, accuracy: 0.96875, eval loss: 0.014242900535464287, accuracy: 0.96
