Epoch 0 train loss: 0.007213945810993512, accuracy: 0.5208333333333334, eval loss: 0.0280768945813179, accuracy: 0.4
Epoch 1 train loss: 0.007167020812630653, accuracy: 0.5208333333333334, eval loss: 0.027910104021430016, accuracy: 0.4
Epoch 2 train loss: 0.007115415607889493, accuracy: 0.5208333333333334, eval loss: 0.027710549533367157, accuracy: 0.4
Epoch 3 train loss: 0.007049608354767163, accuracy: 0.5208333333333334, eval loss: 0.027464905753731728, accuracy: 0.4
Epoch 4 train loss: 0.006965765729546547, accuracy: 0.5208333333333334, eval loss: 0.027178045362234116, accuracy: 0.48
Epoch 5 train loss: 0.006864901011188825, accuracy: 0.6875, eval loss: 0.0268511101603508, accuracy: 0.64
Epoch 6 train loss: 0.00674846147497495, accuracy: 0.8645833333333334, eval loss: 0.02648131549358368, accuracy: 0.68
Epoch 7 train loss: 0.006615371132890384, accuracy: 0.9166666666666666, eval loss: 0.026064885780215263, accuracy: 0.8
Epoch 8 train loss: 0.006465973953406016, accuracy: 0.9375, eval loss: 0.025607798248529434, accuracy: 0.88
Epoch 9 train loss: 0.006300398459037145, accuracy: 0.9583333333333334, eval loss: 0.025106117129325867, accuracy: 0.88
Epoch 10 train loss: 0.006117956091960271, accuracy: 0.9583333333333334, eval loss: 0.024556802585721016, accuracy: 0.88
Epoch 11 train loss: 0.005918876578410466, accuracy: 0.96875, eval loss: 0.023965829983353615, accuracy: 0.88
Epoch 12 train loss: 0.005702663833896319, accuracy: 0.96875, eval loss: 0.023328842595219612, accuracy: 0.88
Epoch 13 train loss: 0.0054672472178936005, accuracy: 0.96875, eval loss: 0.022641140967607498, accuracy: 0.88
Epoch 14 train loss: 0.005212926616271337, accuracy: 0.9791666666666666, eval loss: 0.021898452192544937, accuracy: 0.88
Epoch 15 train loss: 0.0049404871339599294, accuracy: 0.9895833333333334, eval loss: 0.021106859669089317, accuracy: 0.88
Epoch 16 train loss: 0.004651792657872041, accuracy: 0.9895833333333334, eval loss: 0.020268885418772697, accuracy: 0.88
Epoch 17 train loss: 0.004349095436433951, accuracy: 0.9895833333333334, eval loss: 0.019395841285586357, accuracy: 0.84
Epoch 18 train loss: 0.0040359462921818095, accuracy: 0.9895833333333334, eval loss: 0.018495026975870132, accuracy: 0.84
Epoch 19 train loss: 0.0037165945395827293, accuracy: 0.9895833333333334, eval loss: 0.017581116408109665, accuracy: 0.84
