Epoch 0 train loss: 0.0072200677047173185, accuracy: 0.46875, eval loss: 0.027652682736516, accuracy: 0.44
Epoch 1 train loss: 0.007161887362599373, accuracy: 0.75, eval loss: 0.027552567422389984, accuracy: 0.44
Epoch 2 train loss: 0.007098486026128133, accuracy: 0.7291666666666666, eval loss: 0.027373092249035835, accuracy: 0.44
Epoch 3 train loss: 0.0070196787516276045, accuracy: 0.8020833333333334, eval loss: 0.027111120522022247, accuracy: 0.64
Epoch 4 train loss: 0.006923557569583257, accuracy: 0.8333333333333334, eval loss: 0.026763012632727623, accuracy: 0.72
Epoch 5 train loss: 0.006810279563069344, accuracy: 0.90625, eval loss: 0.02633516490459442, accuracy: 0.84
Epoch 6 train loss: 0.006680324052770932, accuracy: 0.9479166666666666, eval loss: 0.025840554386377335, accuracy: 0.92
Epoch 7 train loss: 0.006534382080038388, accuracy: 0.9479166666666666, eval loss: 0.025288915261626244, accuracy: 0.92
Epoch 8 train loss: 0.006372533117731412, accuracy: 0.9583333333333334, eval loss: 0.02468281425535679, accuracy: 0.92
Epoch 9 train loss: 0.006194751088817914, accuracy: 0.9583333333333334, eval loss: 0.024021178483963013, accuracy: 0.96
Epoch 10 train loss: 0.005999029924472173, accuracy: 0.9583333333333334, eval loss: 0.023301830515265465, accuracy: 0.96
Epoch 11 train loss: 0.005785561477144559, accuracy: 0.96875, eval loss: 0.02252516895532608, accuracy: 0.96
Epoch 12 train loss: 0.005555247887969017, accuracy: 0.96875, eval loss: 0.0216966699808836, accuracy: 0.96
Epoch 13 train loss: 0.005308382833997409, accuracy: 0.96875, eval loss: 0.020816072821617126, accuracy: 0.96
Epoch 14 train loss: 0.005045987355212371, accuracy: 0.96875, eval loss: 0.019884701818227768, accuracy: 0.96
Epoch 15 train loss: 0.004769520213206609, accuracy: 0.9791666666666666, eval loss: 0.018912019208073616, accuracy: 0.96
Epoch 16 train loss: 0.004481024729708831, accuracy: 0.9791666666666666, eval loss: 0.017905589193105698, accuracy: 0.96
Epoch 17 train loss: 0.004183155794938405, accuracy: 0.9895833333333334, eval loss: 0.01686696708202362, accuracy: 0.96
Epoch 18 train loss: 0.0038793040439486504, accuracy: 0.9895833333333334, eval loss: 0.015797602012753487, accuracy: 0.96
Epoch 19 train loss: 0.0035716894393165908, accuracy: 0.9895833333333334, eval loss: 0.01470298133790493, accuracy: 0.96
