Epoch 0 train loss: 0.007262071594595909, accuracy: 0.4583333333333333, eval loss: 0.027234159409999847, accuracy: 0.64
Epoch 1 train loss: 0.007193945348262787, accuracy: 0.4583333333333333, eval loss: 0.027185916900634766, accuracy: 0.64
Epoch 2 train loss: 0.0071195246030886965, accuracy: 0.4583333333333333, eval loss: 0.027109207585453987, accuracy: 0.68
Epoch 3 train loss: 0.0070333996166785555, accuracy: 0.7604166666666666, eval loss: 0.02699713222682476, accuracy: 0.76
Epoch 4 train loss: 0.00693320669233799, accuracy: 0.96875, eval loss: 0.02683989517390728, accuracy: 0.8
Epoch 5 train loss: 0.006816227609912555, accuracy: 0.96875, eval loss: 0.026627806946635246, accuracy: 0.8
Epoch 6 train loss: 0.006682243198156357, accuracy: 0.9583333333333334, eval loss: 0.026372704654932022, accuracy: 0.72
Epoch 7 train loss: 0.006531231726209323, accuracy: 0.96875, eval loss: 0.02606382966041565, accuracy: 0.72
Epoch 8 train loss: 0.006359117726484935, accuracy: 0.96875, eval loss: 0.02569970302283764, accuracy: 0.76
Epoch 9 train loss: 0.006164943799376488, accuracy: 0.96875, eval loss: 0.02528144046664238, accuracy: 0.76
Epoch 10 train loss: 0.0059491911282142, accuracy: 0.96875, eval loss: 0.0248198714107275, accuracy: 0.76
Epoch 11 train loss: 0.005713849018017451, accuracy: 0.96875, eval loss: 0.024322429671883583, accuracy: 0.8
Epoch 12 train loss: 0.005458958446979523, accuracy: 0.9791666666666666, eval loss: 0.023783676326274872, accuracy: 0.8
Epoch 13 train loss: 0.005184949996570746, accuracy: 0.9791666666666666, eval loss: 0.02320828102529049, accuracy: 0.8
Epoch 14 train loss: 0.0048921167229612665, accuracy: 0.9791666666666666, eval loss: 0.022598301991820335, accuracy: 0.8
Epoch 15 train loss: 0.004581792590518792, accuracy: 0.9895833333333334, eval loss: 0.02196146920323372, accuracy: 0.8
Epoch 16 train loss: 0.004257446775833766, accuracy: 1.0, eval loss: 0.021310491487383842, accuracy: 0.8
Epoch 17 train loss: 0.003922853308419387, accuracy: 1.0, eval loss: 0.020654523745179176, accuracy: 0.8
Epoch 18 train loss: 0.0035819134985407195, accuracy: 1.0, eval loss: 0.020001620054244995, accuracy: 0.84
Epoch 19 train loss: 0.003239640655616919, accuracy: 1.0, eval loss: 0.01936502754688263, accuracy: 0.84
