Epoch 0 train loss: 0.007217831288774808, accuracy: 0.5104166666666666, eval loss: 0.027677608653903008, accuracy: 0.44
Epoch 1 train loss: 0.007174318035443624, accuracy: 0.5104166666666666, eval loss: 0.02755792811512947, accuracy: 0.44
Epoch 2 train loss: 0.00713014913101991, accuracy: 0.5104166666666666, eval loss: 0.027398772537708282, accuracy: 0.44
Epoch 3 train loss: 0.007075890277822812, accuracy: 0.5520833333333334, eval loss: 0.027193473652005196, accuracy: 0.52
Epoch 4 train loss: 0.007009554033478101, accuracy: 0.7291666666666666, eval loss: 0.02693839929997921, accuracy: 0.8
Epoch 5 train loss: 0.006929897392789523, accuracy: 0.8854166666666666, eval loss: 0.026636600494384766, accuracy: 0.88
Epoch 6 train loss: 0.006835882862408956, accuracy: 0.90625, eval loss: 0.02628708817064762, accuracy: 0.88
Epoch 7 train loss: 0.006727383782466252, accuracy: 0.9479166666666666, eval loss: 0.02589266747236252, accuracy: 0.96
Epoch 8 train loss: 0.006605098644892375, accuracy: 0.9583333333333334, eval loss: 0.025450250133872032, accuracy: 0.96
Epoch 9 train loss: 0.006467103958129883, accuracy: 0.96875, eval loss: 0.02495797909796238, accuracy: 0.96
Epoch 10 train loss: 0.006312572086850802, accuracy: 0.96875, eval loss: 0.02441180869936943, accuracy: 0.96
Epoch 11 train loss: 0.006140567983190219, accuracy: 0.9895833333333334, eval loss: 0.02380833402276039, accuracy: 0.96
Epoch 12 train loss: 0.005950961261987686, accuracy: 0.9895833333333334, eval loss: 0.02314630150794983, accuracy: 0.96
Epoch 13 train loss: 0.005742950985829036, accuracy: 0.9895833333333334, eval loss: 0.022426992654800415, accuracy: 0.96
Epoch 14 train loss: 0.005517218261957169, accuracy: 0.9895833333333334, eval loss: 0.021650170907378197, accuracy: 0.96
Epoch 15 train loss: 0.0052736370513836546, accuracy: 0.9895833333333334, eval loss: 0.020812930539250374, accuracy: 0.96
Epoch 16 train loss: 0.005011986941099167, accuracy: 0.9895833333333334, eval loss: 0.01991494745016098, accuracy: 0.96
Epoch 17 train loss: 0.004733367512623469, accuracy: 0.9895833333333334, eval loss: 0.01895977556705475, accuracy: 0.96
Epoch 18 train loss: 0.004439494262139003, accuracy: 0.9895833333333334, eval loss: 0.017956268042325974, accuracy: 0.96
Epoch 19 train loss: 0.004133538653453191, accuracy: 0.9895833333333334, eval loss: 0.016914619132876396, accuracy: 0.96
