Epoch 0 train loss: 0.007231163481871287, accuracy: 0.46875, eval loss: 0.027492772787809372, accuracy: 0.8
Epoch 1 train loss: 0.0071784139921267824, accuracy: 0.6145833333333334, eval loss: 0.02738388255238533, accuracy: 0.96
Epoch 2 train loss: 0.007120487590630849, accuracy: 0.9479166666666666, eval loss: 0.027219397947192192, accuracy: 0.88
Epoch 3 train loss: 0.007050579413771629, accuracy: 0.9583333333333334, eval loss: 0.02698656916618347, accuracy: 0.88
Epoch 4 train loss: 0.00696558194855849, accuracy: 0.9375, eval loss: 0.026671743020415306, accuracy: 0.88
Epoch 5 train loss: 0.006862533589204152, accuracy: 0.9583333333333334, eval loss: 0.02627316117286682, accuracy: 0.88
Epoch 6 train loss: 0.006739906966686249, accuracy: 0.9583333333333334, eval loss: 0.025796959176659584, accuracy: 0.92
Epoch 7 train loss: 0.006599896276990573, accuracy: 0.9583333333333334, eval loss: 0.025257527828216553, accuracy: 0.92
Epoch 8 train loss: 0.006442869082093239, accuracy: 0.9583333333333334, eval loss: 0.02465420961380005, accuracy: 0.92
Epoch 9 train loss: 0.0062666721642017365, accuracy: 0.9583333333333334, eval loss: 0.02398342825472355, accuracy: 0.92
Epoch 10 train loss: 0.006071575606862704, accuracy: 0.96875, eval loss: 0.02324060909450054, accuracy: 0.92
Epoch 11 train loss: 0.005857214331626892, accuracy: 0.96875, eval loss: 0.02242502197623253, accuracy: 0.92
Epoch 12 train loss: 0.005621843660871188, accuracy: 0.9895833333333334, eval loss: 0.021542200818657875, accuracy: 0.92
Epoch 13 train loss: 0.005365871513883273, accuracy: 0.9895833333333334, eval loss: 0.020589342340826988, accuracy: 0.92
Epoch 14 train loss: 0.005090186061958472, accuracy: 0.9895833333333334, eval loss: 0.019568560644984245, accuracy: 0.92
Epoch 15 train loss: 0.004796672612428665, accuracy: 0.9895833333333334, eval loss: 0.0184906255453825, accuracy: 0.92
Epoch 16 train loss: 0.00448801585783561, accuracy: 0.9895833333333334, eval loss: 0.01736833155155182, accuracy: 0.92
Epoch 17 train loss: 0.004167879621187846, accuracy: 0.9895833333333334, eval loss: 0.01621694676578045, accuracy: 0.92
Epoch 18 train loss: 0.0038400677343209586, accuracy: 0.9895833333333334, eval loss: 0.015049862675368786, accuracy: 0.92
Epoch 19 train loss: 0.0035084212819735208, accuracy: 0.9895833333333334, eval loss: 0.013878577388823032, accuracy: 0.92
