Epoch 0 train loss: 0.007219173014163971, accuracy: 0.5208333333333334, eval loss: 0.027657456696033478, accuracy: 0.44
Epoch 1 train loss: 0.007173296685020129, accuracy: 0.5208333333333334, eval loss: 0.027539696544408798, accuracy: 0.44
Epoch 2 train loss: 0.007123204569021861, accuracy: 0.5833333333333334, eval loss: 0.027380000799894333, accuracy: 0.56
Epoch 3 train loss: 0.007060935099919637, accuracy: 0.6875, eval loss: 0.027173606678843498, accuracy: 0.56
Epoch 4 train loss: 0.0069850267221530276, accuracy: 0.75, eval loss: 0.026911607012152672, accuracy: 0.68
Epoch 5 train loss: 0.0068934205919504166, accuracy: 0.7916666666666666, eval loss: 0.026590874418616295, accuracy: 0.8
Epoch 6 train loss: 0.006785262376070023, accuracy: 0.8020833333333334, eval loss: 0.026208629831671715, accuracy: 0.8
Epoch 7 train loss: 0.00666240540643533, accuracy: 0.875, eval loss: 0.025766491889953613, accuracy: 0.84
Epoch 8 train loss: 0.00652394878367583, accuracy: 0.90625, eval loss: 0.025269869714975357, accuracy: 0.88
Epoch 9 train loss: 0.006369032586614291, accuracy: 0.9270833333333334, eval loss: 0.024709995836019516, accuracy: 0.88
Epoch 10 train loss: 0.006196066116293271, accuracy: 0.9583333333333334, eval loss: 0.024087628349661827, accuracy: 0.88
Epoch 11 train loss: 0.006006001805265744, accuracy: 0.96875, eval loss: 0.023406948894262314, accuracy: 0.92
Epoch 12 train loss: 0.005798196420073509, accuracy: 0.9791666666666666, eval loss: 0.022668225690722466, accuracy: 0.96
Epoch 13 train loss: 0.005572126557429631, accuracy: 0.9895833333333334, eval loss: 0.021872110664844513, accuracy: 0.96
Epoch 14 train loss: 0.005328859513004621, accuracy: 0.9895833333333334, eval loss: 0.02102264203131199, accuracy: 0.96
Epoch 15 train loss: 0.005069312018652757, accuracy: 0.9895833333333334, eval loss: 0.020128311589360237, accuracy: 0.96
Epoch 16 train loss: 0.004795978466669719, accuracy: 0.9895833333333334, eval loss: 0.01919797994196415, accuracy: 0.96
Epoch 17 train loss: 0.004510437448819478, accuracy: 0.9895833333333334, eval loss: 0.018239842727780342, accuracy: 0.96
Epoch 18 train loss: 0.004215132134656112, accuracy: 0.9895833333333334, eval loss: 0.017261862754821777, accuracy: 0.96
Epoch 19 train loss: 0.003913184938331445, accuracy: 0.9895833333333334, eval loss: 0.016273217275738716, accuracy: 0.96
